ticker,IRWD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-03,3.5556
2010-02-04,-0.2575
2010-02-05,0.7745
2010-02-08,0.6832
2010-02-09,-0.3393
2010-02-10,-0.4255
2010-02-11,-1.7094
2010-02-12,0.0
2010-02-16,5.3043
2010-02-17,1.0735
2010-02-18,-0.2451
2010-02-19,7.2891
2010-02-22,-1.6794
2010-02-23,-3.2609
2010-02-24,3.11
2010-02-25,-0.1362
2010-02-26,1.325
2010-03-01,2.3077
2010-03-02,1.8797000000000001
2010-03-03,-2.214
2010-03-04,1.2075
2010-03-05,-2.0134
2010-03-08,-3.3486000000000002
2010-03-09,-0.315
2010-03-10,-0.079
2010-03-11,2.5296
2010-03-12,-0.4626
2010-03-15,8.7529
2010-03-16,2.0655
2010-03-17,-0.3489
2010-03-18,0.9804
2010-03-19,0.6241
2010-03-22,-0.1378
2010-03-23,0.9662
2010-03-24,-0.9569
2010-03-25,-3.5197000000000003
2010-03-26,-0.6438
2010-03-29,-1.0079
2010-03-30,0.1455
2010-03-31,-1.1075
2010-04-01,-0.1285
2010-04-05,0.1471
2010-04-06,8.0029
2010-04-07,-1.9035
2010-04-08,-1.6632
2010-04-09,1.9026999999999998
2010-04-12,0.4841
2010-04-13,1.7206000000000001
2010-04-14,-0.2706
2010-04-15,-0.1357
2010-04-16,-0.7473
2010-04-19,-4.1068
2010-04-20,1.3562
2010-04-21,0.9859
2010-04-22,-2.5802
2010-04-23,-0.0716
2010-04-26,-0.2149
2010-04-27,-3.0869
2010-04-28,-1.1111
2010-04-29,-1.2734
2010-04-30,-1.9727000000000001
2010-05-03,-3.7152
2010-05-04,0.0804
2010-05-05,-0.8835
2010-05-06,-2.107
2010-05-07,-4.0563
2010-05-10,8.585
2010-05-11,4.2511
2010-05-12,6.3262
2010-05-13,-2.509
2010-05-14,-2.8676
2010-05-17,-0.9084
2010-05-18,-0.4584
2010-05-19,-2.9931
2010-05-20,-5.2215
2010-05-21,-2.5876
2010-05-24,-1.114
2010-05-25,-2.1664
2010-05-26,0.3543
2010-05-27,7.4139
2010-05-28,-3.5333
2010-06-01,-4.3441
2010-06-02,2.8495
2010-06-03,-1.1255
2010-06-04,-3.9842
2010-06-07,-6.7943
2010-06-08,-3.229
2010-06-09,1.2133
2010-06-10,1.0989
2010-06-11,0.5929
2010-06-14,14.2436
2010-06-15,4.7291
2010-06-16,0.4105
2010-06-17,1.063
2010-06-18,7.6861
2010-06-21,-2.2539
2010-06-22,-6.5334
