ticker,GORL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-11-22,11.1111
2000-12-27,0.0
2001-08-02,5.7143
2001-08-03,0.0
2001-08-09,0.0
2001-08-20,2.7027
2001-08-21,5.2632
2001-09-07,-5.0
2001-11-26,8.9474
2002-04-18,11.1111
2004-05-05,2.6087
2004-05-11,1.6949
2004-06-02,8.3333
2004-06-03,5.7692
2004-08-26,9.0909
2004-09-03,-3.3333
2004-09-23,3.4483
2004-09-27,-3.3333
2004-10-06,3.4483
2004-10-07,3.0
2005-01-04,-1.2945
2005-01-06,5.5738
2005-01-10,5.5901
2005-07-19,11.7647
2005-07-27,0.0
2005-08-18,5.2632
2006-04-25,0.0
2006-06-14,2.5
2007-03-16,7.3171
2008-02-04,-22.7273
2008-02-14,-25.8824
2008-02-15,7.1429
2008-02-19,3.7037
2008-02-26,7.1429
2008-03-25,-1.6667
2008-05-09,10.2373
2008-06-25,-0.0615
2008-10-13,-26.1538
2009-11-02,8.75
2009-11-06,-13.7931
2009-11-10,8.8889
2009-11-11,-9.7959
2009-11-13,4.0724
2009-11-18,19.5652
2009-12-14,9.0909
2010-10-04,13.3333
2011-03-08,13.5294
2011-04-13,29.4819
2011-04-15,-6.9628
2012-06-29,7.5269
2012-08-10,-14.0
2012-09-07,0.0
2012-09-24,0.0
2013-06-24,2.3256
2013-07-29,-3.4091
2013-12-03,-5.8824
2013-12-09,-5.0
2013-12-12,36.8421
2014-01-23,-26.9231
2014-10-24,10.0
2016-02-22,-10.2871
2016-02-24,20.0
2016-03-17,2.2222
2016-03-21,-1.087
2016-03-22,-2.8571
2016-03-29,-0.181
2016-03-31,-2.3119
2016-04-04,-0.232
2016-04-08,0.0
2016-04-14,-0.093
2016-07-20,-0.3724
2016-11-25,2.8037
2016-12-05,-0.4545
2016-12-08,-2.2831
2016-12-12,1.4019
2016-12-13,-3.2258
2016-12-15,1.4285999999999999
2016-12-20,-1.4085
2016-12-22,0.9048
2016-12-27,-0.1652
2016-12-28,-1.9144
2017-01-04,-0.0482
2017-01-10,-1.3982999999999999
2017-07-11,7.5795
2018-08-13,9.0455
2018-08-14,-0.3752
2018-08-27,-1.6736
2018-08-31,0.0
2018-09-05,0.0
2018-09-06,0.4255
2018-09-07,-0.0424
2018-09-10,0.0848
2018-09-12,-4.2778
2018-12-14,-4.2035
2019-01-11,4.6189
2019-06-13,-2.8698
2019-06-25,-4.5455
2019-07-02,3.5714
2019-07-05,5.7471
2019-07-16,-5.4348
2019-07-17,-1.1494
2019-09-30,-2.0465
2020-02-12,18.7085
2020-03-23,-8.0
2020-03-25,0.0
