ticker,ADYX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-21,0.0
2000-01-25,-51.9231
2000-01-26,108.0
2000-01-31,-51.9231
2000-02-15,20.0
2000-02-23,73.3333
2000-02-25,4.6154
2000-02-28,88.4191
2000-02-29,-31.7073
2000-03-01,14.2857
2000-03-02,-25.0
2000-03-08,-16.0
2000-03-09,-20.634900000000002
2000-03-10,0.0
2000-03-14,250.0
2000-03-15,-57.1429
2000-03-16,33.3333
2000-03-21,-25.0
2000-03-28,50.0
2000-03-29,-22.2222
2000-03-30,0.0
2000-04-04,-14.2857
2000-04-06,0.0
2000-04-13,0.0
2000-04-17,-20.8333
2000-05-04,-36.8421
2000-05-08,100.0
2000-05-17,0.0
2000-06-05,-50.0
2000-06-08,175.0
2000-06-09,-15.1515
2000-06-12,-39.2857
2000-06-23,-5.8824
2000-07-20,-31.25
2000-08-09,-9.0909
2000-08-31,140.0
2000-09-01,-25.0
2000-09-13,-55.5556
2000-10-23,162.5
2000-10-24,0.0
2000-11-17,-61.9048
2000-12-06,-20.0
2000-12-07,0.0
2000-12-12,0.0
2000-12-13,0.0
2000-12-21,0.0
2000-12-28,71.875
2000-12-29,-38.9091
2001-01-03,-25.5952
2001-03-21,60.0
2001-03-22,-48.0
2001-03-28,7.6923
2001-04-18,42.8571
2001-04-19,0.0
2001-04-20,0.0
2001-04-26,-30.0
2001-05-08,-28.5714
2001-07-02,100.0
2001-07-13,-50.0
2001-07-18,150.0
2001-07-19,40.0
2001-07-20,51.4286
2001-07-24,-43.3962
2001-07-25,0.0
2001-08-03,-6.6667
2001-09-04,0.0
2001-10-04,0.0
2001-10-30,0.0
2002-02-05,0.0
2002-02-08,0.0
2002-02-11,-21.4286
2002-02-12,-9.0909
2002-02-13,-10.0
2002-02-28,0.0
2002-03-19,33.3333
2002-03-27,-25.0
2002-04-09,55.5556
2002-05-08,28.5714
2002-06-24,-33.3333
2002-08-21,-16.6667
2002-10-09,32.0
2002-10-14,-24.2424
2002-10-23,20.0
2002-10-24,16.6667
2002-11-01,-28.5714
2002-11-19,0.0
2002-11-22,0.0
2002-11-26,0.0
2002-12-10,40.0
2002-12-20,157.1429
2002-12-27,11.1111
2002-12-30,10.0
2003-01-07,36.3636
2003-01-08,-10.0
2003-01-09,11.1111
2003-01-10,13.3333
2003-01-13,2.9412000000000003
2003-01-14,-8.5714
2003-01-15,50.0
2003-01-21,-2.0833
2003-01-22,2.1277
2003-01-24,-27.0833
2003-01-27,0.0
