ticker,WNMLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.2258
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,3.125
2000-01-07,1.5152
2000-01-10,-1.4925
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-18,-3.0303
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,6.25
2000-01-28,-4.4118
2000-02-02,0.0
2000-02-04,-1.5385
2000-02-08,0.0
2000-02-09,0.0
2000-02-11,0.0
2000-02-15,-3.125
2000-02-16,3.2258
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-29,0.0
2000-03-01,6.25
2000-03-02,0.0
2000-03-08,0.0
2000-03-09,-2.2059
2000-03-10,-0.7519
2000-03-14,7.5758
2000-03-15,0.0
2000-03-16,-4.2254
2000-03-17,2.9412000000000003
2000-03-20,-2.8571
2000-03-23,2.9412000000000003
2000-03-24,-1.4285999999999999
2000-03-27,-1.4493
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,-5.8824
2000-04-04,-12.5
2000-04-05,0.0
2000-04-06,7.1429
2000-04-07,6.6667
2000-04-10,0.0
2000-04-11,-3.125
2000-04-12,4.8387
2000-04-14,-7.6923
2000-04-17,-3.3333
2000-04-18,-10.3448
2000-04-19,0.0
2000-04-20,25.0
2000-04-24,-4.6154
2000-04-25,-4.8387
2000-04-27,0.0
2000-05-01,-10.1695
2000-05-02,11.3208
2000-05-03,0.0
2000-05-09,0.0
2000-05-10,0.0
2000-05-12,6.7797
2000-05-15,-6.3492
2000-05-17,0.0
2000-05-18,6.7797
2000-05-19,-6.3492
2000-05-22,0.0
2000-05-25,1.6949
2000-05-30,5.0
2000-05-31,-3.1746
2000-06-01,0.0
2000-06-05,3.2787
2000-06-06,0.0
2000-06-07,0.0
2000-06-12,0.0
2000-06-13,1.5873
2000-06-19,-4.6875
2000-06-21,6.5574
2000-06-23,-7.6923
2000-06-27,10.0
2000-06-28,-1.5152
2000-06-29,-1.5385
2000-07-03,4.6875
2000-07-05,-4.4776
2000-07-06,0.0
2000-07-10,0.0
2000-07-11,-3.125
2000-07-12,0.0
2000-07-13,-6.4516
2000-07-17,3.4483
2000-07-18,-3.3333
2000-07-20,0.0
2000-07-21,0.0
2000-07-24,0.0
2000-07-26,3.4483
2000-07-31,8.3333
2000-08-02,-7.6923
