ticker,RGDEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-15,-1.1818
2010-12-17,4.3812999999999995
2010-12-20,20.0066
2010-12-29,3.6262
2010-12-31,-5.1559
2011-01-05,-3.0077
2011-01-06,-3.3417
2011-01-18,-7.6218
2011-02-11,2.157
2011-02-22,1.3514
2011-03-01,-12.0
2011-03-03,-0.3196
2011-03-14,8.4194
2011-03-17,-11.5882
2011-03-21,8.0649
2011-03-30,-4.62
2011-04-26,15.3846
2011-04-28,-6.5312
2011-05-03,6.9876000000000005
2011-05-05,-16.6667
2011-05-10,-2.0
2011-05-11,2.0026
2011-05-12,-0.4252
2011-05-16,-6.166
2011-05-20,0.3212
2011-07-25,-19.8506
2011-08-08,4.3109
2011-08-09,-2.3456
2011-08-10,0.9967
2011-08-25,19.026
2011-08-26,-1.9165
2011-09-01,25.5405
2011-09-21,-15.8406
2011-09-22,-4.0268
2011-09-27,11.5211
2011-09-28,-0.3186
2011-09-29,4.8193
2011-10-05,-20.9946
2011-10-06,17.1021
2011-10-14,-2.6369
2011-10-17,2.8125
2011-10-20,2.9002
2011-10-27,-1.76
2011-11-01,6.239
2011-11-04,10.4717
2011-11-07,-4.3553
2011-11-09,2.7679
2011-11-10,-5.3866
2011-11-17,3.0533
2011-11-18,-1.7376
2011-11-21,7.1639
2011-11-22,-10.5881
2011-11-23,1.81
2011-11-25,21.5896
2011-11-28,2.4465
2011-11-29,0.0
2011-11-30,7.5933
2011-12-02,5.2714
2011-12-05,-5.1227
2011-12-07,10.4601
2011-12-08,3.6228
2011-12-09,-5.4755
2011-12-12,-5.6082
2011-12-13,-7.1823
2011-12-14,-1.0256
2011-12-15,-4.7835
2011-12-16,8.2596
2011-12-19,1.6336
2011-12-21,5.2901
2011-12-22,3.2293
2011-12-28,-0.1544
2011-12-29,-1.0824
2011-12-30,12.0856
2012-01-03,8.7126
2012-01-04,-2.3429
2012-01-05,-0.5531
2012-01-06,-1.7798
2012-01-09,-4.53
2012-01-10,-3.6773
2012-01-11,0.9852
2012-01-12,-4.5732
2012-01-13,-6.7093
2012-01-17,11.3699
2012-01-18,-2.706
2012-01-19,1.0114
2012-01-20,-5.3191
2012-01-23,0.7931
2012-01-24,-0.3279
2012-01-25,1.1184
2012-01-26,-0.7157
2012-01-30,-5.6356
2012-01-31,0.6944
2012-02-02,6.2069
2012-02-03,-2.5974
2012-02-06,-5.8667
2012-02-07,17.1388
2012-02-08,-0.0605
2012-02-09,6.4731
2012-02-10,10.681799999999999
