ticker,PMHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-21,0.431
2015-09-22,0.8584
2015-11-11,0.1702
2015-11-16,0.2549
2015-11-17,14.4068
2015-11-18,-10.7407
2015-11-20,-0.4149
2015-11-23,0.0
2015-11-24,0.0
2015-12-03,0.9167
2015-12-22,15.6069
2016-01-07,3.5714
2016-01-13,0.0
2016-01-22,3.4483
2016-01-26,-3.3333
2016-01-27,10.3448
2016-01-29,-12.5
2016-02-02,7.1429
2016-02-04,6.3333
2016-02-05,-9.0909
2016-02-09,-4.4828
2016-02-16,0.361
2016-02-18,2.8881
2016-02-24,-2.7368
2016-02-25,2.8139
2016-02-29,-2.7368
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,1.7316
2016-03-07,-0.7092
2016-03-11,0.0
2016-03-17,3.5714
2016-03-18,-3.9241
2016-03-21,4.0844
2016-04-15,-3.4483
2016-04-18,-1.0714
2016-04-19,4.6931
2016-04-28,0.0
2016-05-06,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-27,-3.3793
2016-06-02,8.8508
2016-06-10,-1.6393
2016-06-14,3.3333
2016-06-15,1.6129
2016-06-28,-13.3333
2016-07-07,-2.9304
2016-07-18,1.1320999999999999
2016-07-26,-0.3731
2016-07-27,1.8727
2016-07-29,-0.7353
2016-08-01,0.0
2016-08-08,0.3704
2016-08-10,1.845
2016-08-16,1.4493
2016-08-23,3.2143
2016-08-26,-1.3841
2016-08-29,-5.193
2016-08-30,3.6269
2016-09-12,2.1429
2016-09-14,4.8951
2016-09-16,-5.0
2016-09-21,1.7544
2016-09-26,-1.2414
2016-09-29,5.6215
2016-10-12,-5.4545
2016-10-25,0.0
2016-10-27,-0.5594
2016-11-07,-0.3551
2016-11-14,0.5681
2016-11-15,1.7544
2016-11-16,-1.0345
2016-11-22,2.7875
2016-11-30,0.0
2016-12-02,-0.2712
2016-12-08,1.9035
2016-12-09,0.0667
2016-12-12,-0.6
2016-12-13,2.2803
2016-12-21,0.0
2016-12-22,0.0
2017-01-09,5.1803
2017-01-24,15.3367
2017-02-17,-6.4026
2017-02-23,0.0
2017-03-16,0.0
2017-03-17,1.4493
2017-03-22,-1.4285999999999999
2017-03-23,1.4493
2017-04-03,-8.0
2017-05-11,4.3478
2017-05-15,3.3393
2017-05-18,-0.6394
2017-05-19,4.3478
2017-05-23,0.0
2017-05-25,0.0
2017-05-26,-1.3889
2017-05-30,-0.2817
2017-06-01,-0.452
