ticker,ARAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-14,133.3333
2014-08-15,5.0
2014-08-18,-31.9728
2014-08-22,-28.0
2014-08-26,31.9444
2014-09-08,-34.7368
2014-10-06,0.0
2014-10-08,0.0
2014-10-17,0.0
2014-10-29,0.0
2014-11-03,-16.129
2014-12-01,0.0
2015-01-12,0.0
2015-04-09,-23.0769
2016-04-05,-12.5
2016-07-05,-14.2857
2017-11-28,-50.0
2017-12-18,120.6667
2017-12-21,-45.9215
2018-05-23,-72.067
2018-12-12,0.0
2019-03-28,-40.0
2020-01-17,-16.6667
2020-01-29,20.0
2020-01-30,50.0
2020-01-31,0.0
2020-02-03,-11.1111
2020-02-10,-6.0
2020-02-14,86.1702
2020-03-12,-28.5714
2020-05-08,-30.0
2020-05-11,0.0
2020-05-12,185.4286
2020-05-27,0.1001
2020-05-28,10.0
2020-05-29,-15.9091
2020-06-04,0.0
2020-06-08,-35.027
2020-06-17,99.6672
2020-07-27,-16.75
