ticker,NWHM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,10.9091
2014-02-03,-0.6557
2014-02-04,0.7426
2014-02-05,-0.3276
2014-02-06,4.7658000000000005
2014-02-07,0.0
2014-02-10,0.7843
2014-02-11,-4.1245
2014-02-12,-2.6786
2014-02-13,3.3361
2014-02-14,2.1792
2014-02-18,0.079
2014-02-19,-0.6314
2014-02-20,0.8737
2014-02-21,-0.7087
2014-02-24,0.3172
2014-02-25,7.4308
2014-02-26,2.2811
2014-02-27,0.7194
2014-02-28,-2.6429
2014-03-03,3.9618
2014-03-04,1.6937
2014-03-05,1.3185
2014-03-06,3.4247
2014-03-07,4.9007
2014-03-10,-5.9343
2014-03-11,-0.8725
2014-03-12,4.7393
2014-03-13,-3.0381
2014-03-14,0.6
2014-03-17,0.0663
2014-03-18,-0.6623
2014-03-19,1.2
2014-03-20,-1.1858
2014-03-21,-2.6
2014-03-24,-0.616
2014-03-25,-0.4821
2014-03-26,0.4844
2014-03-27,-1.7218
2014-03-28,-0.7708
2014-03-31,0.565
2014-04-01,2.5281000000000002
2014-04-02,2.7397
2014-04-03,-0.1333
2014-04-04,0.1335
2014-04-07,-3.3333
2014-04-08,-1.931
2014-04-09,1.2658
2014-04-10,0.1389
2014-04-11,-1.8723999999999998
2014-04-14,0.424
2014-04-15,-0.6334
2014-04-16,-0.4249
2014-04-17,-1.3514
2014-04-21,3.4607
2014-04-22,-1.6724999999999999
2014-04-23,-0.8505
2014-04-24,1.787
2014-04-25,-3.8624
2014-04-28,-1.534
2014-04-29,1.6320000000000001
2014-04-30,0.365
2014-05-01,3.2727
2014-05-02,-1.4085
2014-05-05,-2.0
2014-05-06,-2.6968
2014-05-07,-5.618
2014-05-08,1.5873
2014-05-09,2.9687
2014-05-12,2.5038
2014-05-13,-0.8142
2014-05-14,-3.1343
2014-05-15,-2.6965
2014-05-16,-1.1876
2014-05-19,0.0801
2014-05-20,-4.5637
2014-05-21,2.6007
2014-05-22,2.2077
2014-05-23,0.32
2014-05-27,4.067
2014-05-28,-2.5286999999999997
2014-05-29,-2.5943
2014-05-30,-0.7264
2014-06-02,-2.439
2014-06-03,-2.0833
2014-06-04,2.2128
2014-06-05,6.1615
2014-06-06,1.8824
2014-06-09,0.3079
2014-06-10,-1.9186
2014-06-11,-3.1299
2014-06-12,-0.4039
2014-06-13,-0.4866
2014-06-16,0.815
2014-06-17,0.5659
2014-06-18,-0.2412
2014-06-19,2.0145
2014-06-20,0.4739
