ticker,FOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-13,4.3478
2007-12-14,0.0
2007-12-17,-2.0833
2007-12-18,1.0638
2007-12-19,0.0
2007-12-20,0.0
2007-12-21,2.1053
2007-12-24,0.8247
2007-12-26,-2.863
2007-12-27,0.0
2007-12-28,-4.8421
2007-12-31,4.3805
2008-01-02,-1.6532
2008-01-03,-3.2759
2008-01-04,-2.852
2008-01-07,-8.2569
2008-01-08,-1.1
2008-01-09,-3.185
2008-01-10,6.6319
2008-01-11,-6.7091
2008-01-14,-0.6824
2008-01-15,-1.0042
2008-01-16,9.023
2008-01-17,-3.7218
2008-01-18,1.0173
2008-01-22,3.2226
2008-01-23,0.878
2008-01-24,6.383
2008-01-25,2.5909
2008-01-28,-0.4874
2008-01-29,1.2021
2008-01-30,-1.1879
2008-01-31,1.9144999999999999
2008-02-01,6.8152
2008-02-04,1.6360000000000001
2008-02-05,-5.835
2008-02-06,13.9744
2008-02-07,6.2617
2008-02-08,-2.964
2008-02-11,2.0727
2008-02-12,2.7788
2008-02-13,-2.9809
2008-02-14,-1.8578000000000001
2008-02-15,1.7473999999999998
2008-02-19,-2.0751
2008-02-20,-2.2653
2008-02-21,-3.6262
2008-02-22,0.8534
2008-02-25,0.3077
2008-02-26,1.8788
2008-02-27,-3.9142
2008-02-28,-3.8386
2008-02-29,-0.6925
2008-03-03,-0.8614
2008-03-04,-0.662
2008-03-05,0.1666
2008-03-06,0.0
2008-03-07,2.079
2008-03-10,-4.277
2008-03-11,2.3404
2008-03-12,4.4491
2008-03-13,-3.8615
2008-03-14,5.4244
2008-03-17,-1.7675
2008-03-18,6.1575
2008-03-19,-6.2524
2008-03-20,-1.5669
2008-03-24,1.6327
2008-03-25,-0.6024
2008-03-26,-3.798
2008-03-27,1.05
2008-03-28,2.1612999999999998
2008-03-31,1.3426
2008-04-01,3.3721
2008-04-02,-3.0291
2008-04-03,-2.2427
2008-04-04,-2.0074
2008-04-07,1.5886
2008-04-08,-0.4115
2008-04-09,-0.7438
2008-04-10,1.8317999999999999
2008-04-11,-1.063
2008-04-14,1.6529
2008-04-15,0.6098
2008-04-16,1.0101
2008-04-17,-0.6
2008-04-18,0.8853
2008-04-21,-0.9972
2008-04-22,0.9267
2008-04-23,-0.3194
2008-04-24,6.8482
2008-04-25,1.012
2008-04-28,-2.7829
2008-04-29,-5.1527
2008-04-30,0.2012
2008-05-01,0.8032
2008-05-02,3.5857
2008-05-05,-2.0
2008-05-06,-0.5102
