ticker,MDRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-20,20.0
2011-06-21,16.6667
2011-06-23,0.0
2011-06-24,28.0
2011-06-27,-8.482099999999999
2011-06-29,-7.3171
2011-06-30,10.526299999999999
2011-07-01,0.0
2011-07-08,-21.4286
2011-07-11,21.2121
2011-07-12,25.5
2011-07-15,10.757
2011-07-19,4.3165
2011-07-20,5.1724
2011-07-21,0.0
2011-07-22,-1.6393
2011-07-25,3.0
2011-07-26,0.3236
2011-07-27,-3.2258
2011-07-29,6.6667
2011-08-03,-20.3125
2011-08-04,1.9607999999999999
2011-08-09,22.6923
2011-08-16,0.0
2011-08-18,10.0313
2011-08-22,35.3276
2011-08-23,12.6316
2011-08-24,554.2056
2011-08-25,-68.5714
2011-08-26,-51.8182
2011-08-29,50.9434
2011-08-30,-5.0
2011-08-31,2.6316
2011-09-01,-20.5128
2011-09-06,-6.4516
2011-09-07,17.2414
2011-09-08,-2.9412000000000003
2011-09-09,0.0
2011-09-12,3.0303
2011-09-15,-7.3529
2011-09-16,4.7619
2011-09-19,0.0
2011-09-20,-16.6667
2011-09-26,-3.6364
2011-10-05,-5.6604
2011-10-06,16.0
2011-10-07,-5.1724
2011-10-10,-9.0909
2011-10-11,10.0
2011-10-12,5.4545
2011-10-13,-6.8966
2011-10-14,0.0
2011-10-17,-1.8519
2011-10-18,0.0
2011-10-19,-1.8868
2011-10-20,-1.9231
2011-10-21,-1.9607999999999999
2011-10-24,4.0
2011-10-25,0.0
2011-10-26,-7.6923
2011-10-27,4.1667
2011-10-28,0.0
2011-10-31,0.0
2011-11-01,-20.0
2011-11-02,25.0
2011-11-04,-20.0
2011-11-07,5.0
2011-11-09,-14.2857
2011-11-10,11.1111
2011-11-11,0.0
2011-11-14,0.0
2011-11-15,-10.0
2011-11-16,-2.7778
2011-11-17,11.4286
2011-11-18,-12.8205
2011-11-21,-35.2941
2011-11-22,-1.1932
2011-11-23,-21.6791
2011-11-25,11.4537
2011-11-28,-5.1383
2011-11-29,5.5556
2011-11-30,-15.7895
2011-12-01,6.25
2011-12-02,-20.0
2011-12-05,-33.8235
2011-12-06,11.1111
2011-12-07,-6.0
2011-12-08,6.383
2011-12-09,1.25
2011-12-12,-7.4074
2011-12-13,-14.6667
2011-12-14,0.0
2011-12-15,25.0
2011-12-16,0.0
2011-12-19,-40.0
2011-12-20,33.3333
2011-12-21,-25.0
2011-12-22,-8.3333
2011-12-23,0.0
2011-12-27,9.0909
2011-12-28,-16.6667
