ticker,TXLZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-31,6.422
2006-09-01,2.3707
2006-09-11,-6.9474
2006-09-21,-4.9774
2006-10-03,-38.9048
2006-10-04,5.7531
2006-10-06,4.6571
2006-10-10,1.4085
2006-10-11,-12.1528
2006-11-01,28.4684
2006-11-02,0.3
2006-11-07,-12.8911
2006-11-13,-7.9717
2006-12-04,-2.0902
2006-12-05,-1.5144
2006-12-22,37.753
2006-12-27,10.9071
2007-01-03,-2.4513
2007-02-09,-21.6009
2007-03-02,-14.0947
2007-03-12,10.635
2007-03-15,-6.5440000000000005
2007-04-03,-5.554
2007-04-19,-5.587
2007-04-20,1.5169000000000001
2007-04-23,1.4889999999999999
2007-05-09,-0.718
2007-05-11,0.697
2007-05-23,-2.1961
2007-07-20,11.3813
2007-08-29,-15.9222
2007-09-12,-10.9091
2007-09-13,5.7653
2007-09-18,5.7224
2007-09-21,2.2073
2007-10-02,-10.625
2007-10-11,3.5964
2007-10-16,-1.5911
2007-11-12,-8.5742
2007-11-16,-5.6806
2007-11-20,2.0455
2007-11-21,-2.5056000000000003
2007-11-30,1.0423
2007-12-03,1.0032
2007-12-04,-1.2731
2007-12-05,-4.3574
2007-12-07,-6.2005
2007-12-11,0.3712
2007-12-14,-5.4528
2007-12-17,-0.1997
2007-12-27,2.7352
2007-12-31,5.2354
2008-01-03,-3.4323
2008-01-08,-3.8099
2008-01-10,-0.6892
2008-01-11,-0.9783
2008-01-14,0.6502
2008-01-22,-1.1242
2008-01-23,3.5551
2008-01-24,-3.646
2008-01-25,6.233
2008-01-29,0.8085
2008-01-30,-3.4699
2008-02-01,3.9237
2008-02-06,-11.1841
2008-02-07,5.0174
2008-02-08,6.6531
2008-02-11,-6.429
2008-02-27,25.8503
2008-04-02,15.675699999999999
2008-04-07,25.6717
2008-05-06,7.5343
2008-05-09,-1.1065
2008-06-06,-5.5944
2008-06-19,1.5093
2008-07-07,-10.8547
2008-07-17,-19.0423
2008-08-21,-10.4651
2008-09-19,-30.4912
2008-10-03,5.6052
2008-10-06,-29.4423
2008-10-07,-0.3952
2008-10-14,-4.4739
2008-10-17,-3.7525
2008-10-22,0.0
2008-11-26,-41.9494
2008-12-09,-7.152
2008-12-11,-11.651
2008-12-16,-10.5
2008-12-18,-0.5587
2008-12-22,9.2697
2008-12-23,-8.644
2008-12-29,38.5508
2009-01-06,5.2805
2009-01-20,8.8015
2009-01-27,-40.2482
2009-01-28,46.5875
2009-01-29,0.4049
