ticker,DMRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-01,2.6549
2000-12-12,0.9174
2000-12-27,-5.4545
2001-03-15,4.4776
2001-05-31,0.9524
2001-10-03,2.6341
2001-10-04,-0.1901
2001-10-05,2.8571
2001-11-28,7.4074
2002-01-18,-1.7241
2002-02-27,0.5263
2002-08-27,8.0108
2002-12-30,-5.2017
2003-02-07,1.7747000000000002
2003-08-22,6.9238
2003-10-22,-0.301
2004-02-23,-0.1776
2004-04-19,14.4169
2004-11-08,-20.3964
2005-05-09,24.4813
2005-06-06,11.588
2005-06-21,7.6923
2006-06-02,0.7519
2006-07-10,0.7463
2006-10-25,7.2243
2007-05-30,6.1818
2007-07-19,4.7945
2007-08-31,4.5752
2007-10-18,6.0703
2008-01-17,-2.4096
2008-05-08,5.9937000000000005
2008-09-10,-2.6189999999999998
2008-09-24,0.0
2008-12-10,-17.5515
2009-03-03,-18.1818
2010-01-29,7.7228
2010-02-23,0.0
2010-06-01,8.452
2010-12-06,-2.439
2011-01-24,-32.2222
2011-02-15,31.1475
2011-08-02,5.9459
2011-11-07,3.9153000000000002
2012-06-29,7.075
2012-08-03,26.2327
2012-08-10,0.0
2012-08-16,1.2187999999999999
2012-10-10,1.5389
2012-10-25,-2.4375
2012-12-10,8.9045
2013-01-16,-6.1765
2013-01-18,9.7179
2014-01-02,5.2632
2014-01-08,7.1429
2014-03-14,-7.1672
2014-04-24,5.1471
2014-06-26,-2.0699
2014-09-09,8.5404
2014-09-24,-9.0909
2014-09-29,9.6296
2015-01-05,0.0
2015-01-15,0.0
2015-02-12,2.1622
2015-03-09,0.5291
2015-04-08,2.3569
2015-04-15,5.2632
2015-11-06,12.4601
2015-12-29,9.0909
2016-07-27,-1.3263
2017-06-20,3.9106
2020-01-14,-9.792300000000001
2020-01-24,5.2632
2020-03-18,2.5431
2020-03-25,7.1785
