ticker,WCRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-20,100.0
2007-02-28,0.0
2007-03-01,-50.0
2007-03-05,100.0
2007-03-07,0.0
2007-03-08,50.0
2007-03-13,66.6667
2007-03-14,0.0
2007-03-15,-20.0
2007-03-19,-40.0
2007-03-21,7.5
2007-03-22,-6.9767
2007-03-26,0.0
2007-03-27,0.0
2007-03-29,150.0
2007-04-03,-60.0
2007-04-04,0.0
2007-04-10,8.3333
2007-04-11,0.0
2007-04-12,0.0
2007-04-13,0.0
2007-04-17,15.3846
2007-04-18,-13.3333
2007-04-19,92.3077
2007-04-20,-40.0
2007-04-24,0.0
2007-04-25,0.0
2007-04-26,-20.0
2007-05-01,-55.8333
2007-05-03,88.6792
2007-05-04,50.0
2007-05-07,33.3333
2007-05-11,0.0
2007-05-14,-25.0
2007-05-16,-46.6667
2007-05-18,25.0
2007-05-21,0.0
2007-05-22,0.0
2007-05-23,0.0
2007-05-24,0.0
2007-05-30,0.0
2007-05-31,0.0
2007-06-06,50.0
2007-06-11,-26.6667
2007-06-13,9.0909
2007-06-15,-16.6667
2007-06-19,50.0
2007-06-20,-33.3333
2007-06-21,20.0
2007-06-25,-8.3333
2007-06-27,0.0
2007-06-29,0.0
2007-07-03,0.0
2007-07-10,0.0
2007-07-11,0.0
2007-07-12,0.0
2007-07-18,36.3636
2007-07-19,0.0
2007-07-20,0.0
2007-07-31,33.3333
2007-08-02,0.0
2007-08-09,0.0
2007-08-13,60.0
2007-08-14,-6.25
2007-08-16,-6.6667
2007-08-17,-7.1429
2007-08-21,-3.8462
2007-08-24,-16.0
2007-08-27,0.0
2007-08-28,0.0
2007-08-29,0.0
2007-08-30,0.0
2007-08-31,4.7619
2007-09-04,27.2727
2007-09-05,-21.4286
2007-09-06,0.0
2007-09-07,0.0
2007-09-10,0.0
2007-09-12,0.0
2007-09-13,0.0
2007-09-14,0.0
2007-09-17,13.6364
2007-09-19,0.0
2007-09-20,60.0
2007-09-21,-37.5
2007-09-24,0.0
2007-09-25,0.0
2007-09-26,0.0
2007-09-27,-20.0
2007-09-28,10.0
2007-10-01,-9.0909
2007-10-02,0.0
2007-10-08,-15.0
2007-10-09,47.0588
2007-10-11,0.0
2007-10-12,0.0
2007-10-15,0.0
2007-10-16,20.0
2007-10-17,3.3333
2007-10-18,-16.129
2007-10-19,15.3846
2007-10-22,-16.6667
2007-10-23,0.0
2007-10-24,-40.0
2007-10-25,6.6667
2007-10-26,43.75
2007-10-29,0.0
