ticker,HPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-10,16.2
2004-12-13,-0.8606
2004-12-14,1.4236
2004-12-15,9.038
2004-12-16,-1.0361
2004-12-17,5.9962
2004-12-20,-0.3292
2004-12-21,0.4505
2004-12-22,-5.2616
2004-12-23,-1.3885
2004-12-27,-1.568
2004-12-28,1.5605
2004-12-29,2.7529
2004-12-30,-1.5888
2004-12-31,1.2662
2005-01-03,-6.2832
2005-01-04,-1.2675
2005-01-05,-1.9257
2005-01-06,0.9301
2005-01-07,-1.0239
2005-01-10,1.7241
2005-01-11,-0.8475
2005-01-12,0.4786
2005-01-13,2.3137
2005-01-14,2.1284
2005-01-18,3.0609
2005-01-19,-1.2638
2005-01-20,0.0
2005-01-21,0.48
2005-01-24,2.4204
2005-01-25,-0.5597
2005-01-26,0.6879
2005-01-27,-2.4845
2005-01-28,0.4777
2005-01-31,0.0951
2005-02-01,1.4566
2005-02-02,0.0
2005-02-03,0.0312
2005-02-04,-0.156
2005-02-07,0.2813
2005-02-08,-2.4618
2005-02-09,-0.2875
2005-02-10,0.4486
2005-02-11,-0.3509
2005-02-14,-0.7042
2005-02-15,-1.0316
2005-02-16,-0.6515
2005-02-17,-0.6885
2005-02-18,0.2311
2005-02-22,3.0632
2005-02-23,0.5433
2005-02-24,-0.3497
2005-02-25,0.4785
2005-02-28,-0.6349
2005-03-01,-1.8211
2005-03-02,-0.1302
2005-03-03,0.6843
2005-03-04,2.7832
2005-03-07,2.33
2005-03-08,0.6154
2005-03-09,-1.8349
2005-03-10,-0.3115
2005-03-11,-3.1563
2005-03-14,-2.2265
2005-03-15,-0.9901
2005-03-16,-0.6667
2005-03-17,-0.3691
2005-03-18,1.2125
2005-03-21,-0.2662
2005-03-22,-1.5349
2005-03-23,-7.7940000000000005
2005-03-24,3.2709
2005-03-28,2.4911
2005-03-29,-0.2083
2005-03-30,-2.4704
2005-03-31,3.1395
2005-04-01,0.761
2005-04-04,-0.2403
2005-04-05,0.3441
2005-04-06,0.1372
2005-04-07,-0.8904
2005-04-08,-1.0021
2005-04-11,-0.733
2005-04-12,-3.8326000000000002
2005-04-13,-0.9872
2005-04-14,0.7755
2005-04-15,-3.2246
2005-04-18,0.2651
2005-04-19,3.2477
2005-04-20,-0.5121
2005-04-21,1.1029
2005-04-22,-0.3636
2005-04-25,-0.1095
2005-04-26,-0.475
2005-04-27,-3.3407
2005-04-28,-0.1899
2005-04-29,1.3699
2005-05-02,2.5901
2005-05-03,-3.2565
