ticker,DDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9412000000000003
2000-01-04,-4.5455
2000-01-05,5.5556
2000-01-06,-0.7519
2000-01-07,6.0606
2000-01-10,-4.2857
2000-01-11,-5.2239
2000-01-12,0.3937
2000-01-13,-0.3922
2000-01-14,-5.5118
2000-01-18,0.0
2000-01-19,7.0833
2000-01-20,2.3346
2000-01-21,0.0
2000-01-24,20.1521
2000-01-25,3.7975
2000-01-26,-0.6098
2000-01-27,-5.5215
2000-01-28,3.8961
2000-01-31,4.375
2000-02-01,-4.7904
2000-02-02,-0.3145
2000-02-03,5.6782
2000-02-04,-3.2836
2000-02-07,-1.2346
2000-02-08,0.0
2000-02-09,-5.0
2000-02-10,5.2632
2000-02-11,-2.5
2000-02-14,-2.5641
2000-02-15,3.9474
2000-02-16,3.481
2000-02-17,-7.0336
2000-02-18,2.6316
2000-02-22,-4.1667
2000-02-23,-1.0033
2000-02-24,-4.7297
2000-02-25,9.9291
2000-02-28,23.2258
2000-02-29,-2.356
2000-03-01,3.4853
2000-03-02,-4.1451
2000-03-03,10.0
2000-03-06,-1.9656
2000-03-07,-8.2707
2000-03-08,-0.5464
2000-03-09,-2.1978
2000-03-10,-3.0899
2000-03-13,11.3043
2000-03-14,-8.3333
2000-03-15,-3.9773
2000-03-16,3.2544
2000-03-17,4.298
2000-03-20,-2.1978
2000-03-21,-7.3034
2000-03-22,1.8182
2000-03-23,-1.1905000000000001
2000-03-24,3.6145
2000-03-27,-1.1628
2000-03-28,2.3529
2000-03-29,-2.2989
2000-03-30,-5.8824
2000-03-31,3.75
2000-04-03,0.0
2000-04-04,-3.6145
2000-04-05,6.25
2000-04-06,-3.5294
2000-04-07,1.2195
2000-04-10,-3.6145
2000-04-11,3.125
2000-04-12,-5.4545
2000-04-13,1.2821
2000-04-14,-12.6582
2000-04-17,-1.4493
2000-04-18,13.2353
2000-04-19,1.2987
2000-04-20,1.9231
2000-04-24,10.6918
2000-04-25,-0.5682
2000-04-26,-4.5714
2000-04-27,-0.5988
2000-04-28,4.8193
2000-05-01,-1.1494
2000-05-02,-1.1628
2000-05-03,-9.4118
2000-05-04,3.2468
2000-05-05,1.2579
2000-05-08,-3.1056
2000-05-09,0.641
2000-05-10,-5.7325
2000-05-11,-2.027
2000-05-12,4.8276
2000-05-15,4.6053
2000-05-16,-0.6289
2000-05-17,0.0
2000-05-18,7.5949
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,-2.3529
