ticker,ARMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5873
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,1.5625
2000-01-10,20.0
2000-01-11,-1.2821
2000-01-12,9.0909
2000-01-13,4.7619
2000-01-14,-4.5455
2000-01-18,23.8095
2000-01-19,44.2308
2000-01-20,-8.6667
2000-01-21,-2.9196999999999997
2000-01-24,9.7744
2000-01-25,-1.3699
2000-01-26,-11.1111
2000-01-27,-13.6719
2000-01-28,-11.7647
2000-01-31,-0.5128
2000-02-01,4.1237
2000-02-02,24.7525
2000-02-03,-11.1111
2000-02-04,-0.8929
2000-02-07,5.4054
2000-02-08,7.6923
2000-02-09,11.1111
2000-02-10,24.2857
2000-02-11,17.2414
2000-02-14,4.902
2000-02-15,-6.0748
2000-02-16,57.2139
2000-02-17,29.1139
2000-02-18,-7.8431
2000-02-22,-20.7447
2000-02-23,9.7315
2000-02-24,-4.5872
2000-02-25,-16.6667
2000-02-28,30.7692
2000-02-29,0.5882
2000-03-01,8.7719
2000-03-02,-3.7634
2000-03-03,-0.2793
2000-03-06,-7.2829
2000-03-07,-10.574
2000-03-08,8.1081
2000-03-09,-10.0
2000-03-10,-12.5
2000-03-13,0.0
2000-03-14,-16.2698
2000-03-15,-5.2133
2000-03-16,13.0
2000-03-17,-0.4425
2000-03-20,-15.1111
2000-03-21,-12.5654
2000-03-22,30.5389
2000-03-23,-8.2569
2000-03-24,7.0
2000-03-27,0.4673
2000-03-28,-4.186
2000-03-29,-10.6796
2000-03-30,-9.2391
2000-03-31,32.9341
2000-04-03,-10.3604
2000-04-04,-5.5276
2000-04-05,4.2553
2000-04-06,0.0
2000-04-07,5.102
2000-04-10,-6.7961
2000-04-11,-10.9375
2000-04-12,-7.6023
2000-04-13,-13.9241
2000-04-14,-25.0
2000-04-17,-6.8627
2000-04-18,40.0
2000-04-19,6.7669
2000-04-20,-5.6338
2000-04-24,-11.9403
2000-04-25,11.0169
2000-04-26,-8.3969
2000-04-27,-3.3333
2000-04-28,14.6552
2000-05-01,20.3008
2000-05-02,-4.6875
2000-05-03,-5.5738
2000-05-04,2.7778
2000-05-05,6.7568
2000-05-08,-1.2658
2000-05-09,-8.6538
2000-05-10,-7.3684
2000-05-11,3.7879
2000-05-12,3.6496
2000-05-15,-2.8169
2000-05-16,2.8986
2000-05-17,-2.8169
2000-05-18,-2.8986
2000-05-19,-0.7463
2000-05-22,-6.7669
2000-05-23,-1.2097
