ticker,ETN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7212
2000-01-04,-3.4151
2000-01-05,0.816
2000-01-06,2.0683
2000-01-07,3.0837
2000-01-10,-2.5641
2000-01-11,0.1754
2000-01-12,-0.2627
2000-01-13,0.1756
2000-01-14,0.0
2000-01-18,2.2787
2000-01-19,-0.9426
2000-01-20,-1.2976
2000-01-21,-5.9597
2000-01-24,8.4809
2000-01-25,-3.3505
2000-01-26,-0.3556
2000-01-27,1.9625
2000-01-28,-1.9247999999999998
2000-01-31,1.9625
2000-02-01,-0.175
2000-02-02,-1.4022999999999999
2000-02-03,-1.4187
2000-02-04,-1.9056
2000-02-07,-0.9251
2000-02-08,0.1867
2000-02-09,-1.9571
2000-02-10,-1.3308
2000-02-11,-4.2389
2000-02-14,2.9175
2000-02-15,1.955
2000-02-16,-0.2876
2000-02-17,-0.8654
2000-02-18,-2.3278
2000-02-22,0.7944
2000-02-23,3.3498
2000-02-24,18.9704
2000-02-25,-6.6506
2000-02-28,3.4335
2000-02-29,-0.4979
2000-03-01,-2.5855
2000-03-02,1.7979
2000-03-03,0.841
2000-03-06,3.258
2000-03-07,-3.1552
2000-03-08,-2.5855
2000-03-09,2.6541
2000-03-10,1.5847
2000-03-13,-1.5598999999999998
2000-03-14,-1.5013
2000-03-15,3.641
2000-03-16,5.719
2000-03-17,-3.323
2000-03-20,-1.6787
2000-03-21,2.0325
2000-03-22,-0.8765
2000-03-23,-0.8039
2000-03-24,-0.5673
2000-03-27,-0.4075
2000-03-28,-2.1277
2000-03-29,1.2542
2000-03-30,1.1561
2000-03-31,1.8776000000000002
2000-04-03,-0.3205
2000-04-04,-1.6881
2000-04-05,-1.4718
2000-04-06,1.5768
2000-04-07,0.4085
2000-04-10,-0.895
2000-04-11,2.4631
2000-04-12,-0.9615
2000-04-13,2.4272
2000-04-14,-5.6872
2000-04-17,3.1826
2000-04-18,2.5974
2000-04-19,0.6329
2000-04-20,0.1572
2000-04-24,0.471
2000-04-25,5.0
2000-04-26,0.8185
2000-04-27,-1.2546
2000-04-28,0.4484
2000-05-01,0.5208
2000-05-02,-1.4064
2000-05-03,-2.4024
2000-05-04,-0.8431
2000-05-05,2.3401
2000-05-08,-0.3049
2000-05-09,-2.1407
2000-05-10,-0.7812
2000-05-11,1.4961
2000-05-12,-0.6206
2000-05-15,0.8587
2000-05-16,1.548
2000-05-17,0.9146
2000-05-18,-0.1511
2000-05-19,-2.8744
2000-05-22,-1.5575999999999999
