ticker,MRVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.3826
2000-01-04,-2.5
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,-2.5641
2000-01-10,13.1579
2000-01-11,7.5581
2000-01-12,14.5946
2000-01-13,2.5943
2000-01-14,1.6092
2000-01-18,2.7149
2000-01-19,10.5727
2000-01-20,14.342600000000001
2000-01-21,0.3484
2000-01-24,3.8194
2000-01-25,9.699
2000-01-26,15.2439
2000-01-27,-6.3492
2000-01-28,-7.6271
2000-01-31,-12.5382
2000-02-01,34.2657
2000-02-02,-2.8646000000000003
2000-02-03,-1.3405
2000-02-04,4.8913
2000-02-07,3.6269
2000-02-08,4.0
2000-02-09,-4.5673
2000-02-10,3.7782999999999998
2000-02-11,-1.6989999999999998
2000-02-14,-8.1481
2000-02-15,7.5269
2000-02-16,4.0
2000-02-17,14.9038
2000-02-18,-1.8828
2000-02-22,-10.4478
2000-02-23,6.6667
2000-02-24,-2.6786
2000-02-25,-4.8165
2000-02-28,7.9518
2000-02-29,-0.4464
2000-03-01,-7.6233
2000-03-02,0.4854
2000-03-03,5.0725
2000-03-06,-0.6897
2000-03-07,-5.787
2000-03-08,0.2457
2000-03-09,-2.9412000000000003
2000-03-10,-6.5657
2000-03-13,-3.5135
2000-03-14,-14.8459
2000-03-15,0.9868
2000-03-16,-0.9772
2000-03-17,4.6053
2000-03-20,-6.9182
2000-03-21,-4.0541
2000-03-22,0.7042
2000-03-23,6.2937
2000-03-24,2.6316
2000-03-27,-0.3205
2000-03-28,-1.2862
2000-03-29,-13.355
2000-03-30,-8.2707
2000-03-31,2.0492
2000-04-03,-7.6305
2000-04-04,-9.1304
2000-04-05,7.177
2000-04-06,-0.8929
2000-04-07,1.8018
2000-04-10,-7.9646
2000-04-11,1.9231
2000-04-12,-10.3774
2000-04-13,6.8421
2000-04-14,-11.33
2000-04-17,-2.7778
2000-04-18,2.8571
2000-04-19,13.3333
2000-04-20,18.1373
2000-04-24,-2.0747
2000-04-25,-5.0847
2000-04-26,-5.3571
2000-04-27,4.717
2000-04-28,20.7207
2000-05-01,-5.5969999999999995
2000-05-02,-5.5336
2000-05-03,-0.4184
2000-05-04,1.6806999999999999
2000-05-05,-7.438
2000-05-08,-0.8929
2000-05-09,-5.4054
2000-05-10,-2.8571
2000-05-11,0.9804
2000-05-12,4.8544
2000-05-15,-5.0926
2000-05-16,9.2683
2000-05-17,-6.25
2000-05-18,1.4285999999999999
2000-05-19,-3.7559
