ticker,SUME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-30,33.3333
2012-07-31,156.25
2012-08-07,0.0
2013-06-03,297.0732
2013-06-11,-7.8624
2013-07-22,-1.3333
2013-08-08,-59.4595
2013-08-23,3.3333
2013-09-09,9.6774
2013-09-10,0.0
2013-09-11,0.0
2013-09-30,-26.4706
2013-11-04,-4.0
2013-12-02,22.9167
2013-12-09,0.0
2013-12-19,-30.5085
2013-12-26,0.0
2014-01-06,-0.4878
2014-01-16,-16.6667
2014-01-21,0.0
2014-02-10,47.0588
2014-02-14,-2.0
2014-04-04,-29.7959
2014-04-07,0.0
2014-04-08,-2.3256
2014-04-22,-1.7856999999999998
2014-06-23,-57.5758
2014-07-08,10.0
2014-07-30,2.5974
2014-07-31,7.5949
2014-08-01,3.5294
2014-08-05,-26.1364
2014-08-06,0.0
2014-08-19,-10.7692
2014-08-25,-12.069
2014-08-26,0.0
2014-08-29,-21.5686
2014-09-08,0.0
2014-09-23,12.5
2014-10-16,0.0
2014-10-20,-11.1111
2014-10-23,25.0
2014-11-05,0.0
2014-11-13,0.0
2014-11-18,20.0
2014-11-26,8.3333
2014-12-01,0.0
2014-12-16,3.0769
2014-12-18,-2.9851
2015-01-05,3.0769
2015-01-09,-70.1493
2015-01-16,255.0
2015-01-26,-15.493
2015-01-29,-16.6667
2015-02-05,-18.0
2015-02-06,0.0
2015-02-10,2.439
2015-02-17,0.0
2015-02-19,16.6667
2015-02-20,0.0
2015-02-26,28.5714
2015-02-27,11.1111
2015-03-02,1.4285999999999999
2015-03-04,5.6338
2015-03-05,0.0
2015-03-06,-5.3333
2015-03-11,146.4789
2015-03-12,-20.0
2015-03-13,14.2857
2015-03-16,-6.25
2015-03-18,0.0
2015-03-25,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-04-01,3.3333
2015-04-06,0.0
2015-04-07,0.0
2015-04-09,-3.2258
2015-04-13,0.0
2015-04-16,0.0
2015-04-24,-17.3333
2015-04-27,0.0
2015-05-07,3.2258
2015-05-08,-2.3438
2015-05-21,-4.0
2015-05-22,0.0
2015-05-27,-4.1667
2015-05-28,4.3478
2015-06-02,-37.5
2015-06-10,60.0
2015-06-23,0.0
2015-06-26,0.0
2015-07-08,-12.5
2015-07-29,0.0
2015-08-06,-9.5238
2015-08-14,10.526299999999999
2015-08-18,0.0
2015-08-20,28.5714
2015-09-01,-3.7037
2015-09-02,0.0
2015-09-09,-11.538499999999999
2015-09-10,-30.4348
2015-09-11,0.0
