ticker,FIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-18,48.4
2015-06-19,9.5013
2015-06-22,14.0308
2015-06-23,2.2126
2015-06-24,-4.9366
2015-06-25,1.6107
2015-06-26,-5.0287
2015-06-29,-4.2302
2015-06-30,14.8738
2015-07-01,10.8553
2015-07-02,-0.3303
2015-07-06,-4.8532
2015-07-07,4.8768
2015-07-08,-0.9727
2015-07-09,1.2218
2015-07-10,-0.355
2015-07-13,3.2779
2015-07-14,5.7958
2015-07-15,2.8043
2015-07-16,1.0362
2015-07-17,-1.2767
2015-07-20,-5.724
2015-07-21,5.3969
2015-07-22,-2.859
2015-07-23,1.4716
2015-07-24,-1.4285999999999999
2015-07-27,-3.5354
2015-07-28,3.5056000000000003
2015-07-29,-3.079
2015-07-30,2.5414
2015-07-31,5.333
2015-08-03,2.8571
2015-08-04,1.491
2015-08-05,3.9243
2015-08-06,-13.6328
2015-08-07,-4.3049
2015-08-10,1.1012
2015-08-11,-0.5098
2015-08-12,-4.0764
2015-08-13,2.5983
2015-08-14,5.6805
2015-08-17,0.6271
2015-08-18,-2.5818
2015-08-19,-1.5307
2015-08-20,-3.9211
2015-08-21,-6.6651
2015-08-24,-3.3376
2015-08-25,-1.5792000000000002
2015-08-26,4.433
2015-08-27,-8.9323
2015-08-28,-3.3457
2015-08-31,2.0414
2015-09-01,-4.639
2015-09-02,2.0675
2015-09-03,-1.549
2015-09-04,-3.5401
2015-09-08,11.2296
2015-09-09,1.3818
2015-09-10,-4.7844
2015-09-11,-5.3462
2015-09-14,-1.2346
2015-09-15,3.25
2015-09-16,12.2881
2015-09-17,7.4933
2015-09-18,2.1063
2015-09-21,-6.4587
2015-09-22,3.6755
2015-09-23,-0.9623
2015-09-24,-0.8182
2015-09-25,-3.0678
2015-09-28,-4.1223
2015-09-29,-2.0804
2015-09-30,6.7705
2015-10-01,0.9552
2015-10-02,-1.9710999999999999
2015-10-05,2.1448
2015-10-06,-4.4619
2015-10-07,-3.1593
2015-10-08,-1.6454
2015-10-09,1.9902
2015-10-12,2.0928
2015-10-13,0.1939
2015-10-14,-1.5758999999999999
2015-10-15,4.2135
2015-10-16,-0.5391
2015-10-19,1.3820999999999999
2015-10-20,2.9137
2015-10-21,-4.3636
2015-10-22,0.7333
2015-10-23,3.7207
2015-10-26,-2.8594
2015-10-27,0.8028
2015-10-28,3.7696
2015-10-29,-3.8885
2015-10-30,7.9052
2015-11-02,0.6413
2015-11-03,-8.5539
2015-11-04,1.3669
