ticker,SEDO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-23,103.7037
2018-11-26,1.8
2018-11-27,25.0223
2018-11-28,208.5714
2018-11-29,39.3519
2018-11-30,3.3223
2018-12-03,24.1158
2018-12-04,0.5181
2018-12-06,14.6907
2018-12-07,-0.4494
2018-12-10,2.9345
2018-12-11,0.4386
2018-12-12,1.5284
2018-12-13,-35.4839
2018-12-14,30.0
2018-12-17,2.5641
2018-12-18,5.0
2018-12-19,-16.4286
2018-12-20,-0.2849
2018-12-21,-3.4286
2018-12-24,3.5503
2018-12-26,0.0
2018-12-27,-12.857099999999999
2018-12-28,-1.6393
2018-12-31,-41.6667
2019-01-02,25.7143
2019-01-03,36.3636
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,-5.0
2019-01-09,1.7544
2019-01-10,-13.7931
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,-4.0
2019-01-16,6.25
2019-01-17,0.0
2019-01-18,5.8824
2019-01-22,0.0
2019-01-24,-17.4074
2019-01-25,-1.7936999999999999
2019-01-28,-8.6758
2019-01-29,-12.5
2019-01-30,0.0
2019-01-31,25.7143
2019-02-01,-7.2727
2019-02-04,10.2941
2019-02-05,11.1111
2019-02-06,2.0
2019-02-07,-5.8824
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,-2.0833
2019-02-13,-12.766
2019-02-14,-2.439
2019-02-15,27.5
2019-02-19,-0.3922
2019-02-20,-1.9685000000000001
2019-02-21,-5.6225000000000005
2019-02-22,-2.5532
2019-02-25,-8.7336
2019-02-26,-0.9569
2019-02-27,-3.8647
2019-02-28,2.5126
2019-03-01,-0.9804
2019-03-04,-1.4851
2019-03-05,-4.5226
2019-03-06,2.6316
2019-03-07,0.0
2019-03-11,4.1026
2019-03-12,33.0049
2019-03-13,10.0
2019-03-14,13.8047
2019-03-15,-4.142
2019-03-18,6.7901
2019-03-19,15.0289
2019-03-20,3.5176
2019-03-21,-11.4078
2019-03-22,5.7534
2019-03-25,6.215
2019-03-26,4.6367
2019-03-27,0.2331
2019-03-28,1.1628
2019-03-29,-7.8161000000000005
2019-04-01,-7.7307
2019-04-02,4.5946
2019-04-03,-1.8088
2019-04-04,-4.2105
2019-04-05,-3.8462
2019-04-08,-1.4285999999999999
2019-04-09,-4.058
2019-04-10,-6.6465
2019-04-11,-1.2945
2019-04-12,4.918
2019-04-15,6.25
2019-04-16,-4.4118
2019-04-17,-10.7692
2019-04-18,3.4483
2019-04-22,4.6667
2019-04-23,-4.9204
