ticker,OSUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9615
2000-01-04,-4.8544
2000-01-05,0.0
2000-01-06,15.3061
2000-01-07,11.5044
2000-01-10,3.1746
2000-01-11,-10.7692
2000-01-12,9.4828
2000-01-13,7.0866
2000-01-14,5.8824
2000-01-18,8.3333
2000-01-19,5.7692
2000-01-20,-5.4545
2000-01-21,14.7436
2000-01-24,-8.3799
2000-01-25,-5.4878
2000-01-26,3.2258
2000-01-27,-5.0
2000-01-28,-1.3158
2000-01-31,-5.3333
2000-02-01,1.4085
2000-02-02,2.7778
2000-02-03,2.7027
2000-02-04,6.5789
2000-02-07,-1.2346
2000-02-08,-2.5
2000-02-09,2.5641
2000-02-10,15.0
2000-02-11,-5.9783
2000-02-14,-5.2023
2000-02-15,-1.2195
2000-02-16,1.2346
2000-02-17,17.0732
2000-02-18,-8.3333
2000-02-22,2.2727
2000-02-23,-2.2222
2000-02-24,6.25
2000-02-25,0.0
2000-02-28,-3.7433
2000-02-29,5.5556
2000-03-01,9.473700000000001
2000-03-02,3.8462
2000-03-03,3.7037
2000-03-06,6.25
2000-03-07,-5.042
2000-03-08,5.3097
2000-03-09,12.605
2000-03-10,1.1194
2000-03-13,0.369
2000-03-14,-17.647100000000002
2000-03-15,3.5714
2000-03-16,-3.8792999999999997
2000-03-17,0.8969
2000-03-20,-6.6667
2000-03-21,-0.9524
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,-6.25
2000-03-28,-9.2308
2000-03-29,0.565
2000-03-30,-14.6067
2000-03-31,-1.3158
2000-04-03,8.0
2000-04-04,-11.1111
2000-04-05,11.1111
2000-04-06,2.5
2000-04-07,7.3171
2000-04-10,-2.2727
2000-04-11,-9.3023
2000-04-12,-8.9744
2000-04-13,-2.8169
2000-04-14,-10.1449
2000-04-17,-4.8387
2000-04-18,9.322
2000-04-19,3.1008
2000-04-20,5.8271
2000-04-24,-9.0586
2000-04-25,-0.7813
2000-04-26,-5.5118
2000-04-27,1.6667
2000-04-28,14.7541
2000-05-01,20.0
2000-05-02,-5.3571
2000-05-03,-3.1447
2000-05-04,19.4805
2000-05-05,10.8696
2000-05-08,-9.3137
2000-05-09,-7.027
2000-05-10,-6.9767
2000-05-11,0.0
2000-05-12,0.625
2000-05-15,0.6211
2000-05-16,-2.4691
2000-05-17,-0.6329
2000-05-18,1.2739
2000-05-19,1.2579
2000-05-22,-4.3478
2000-05-23,-3.8961
2000-05-24,-8.1081
