ticker,PBFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-09,20.3478
2014-05-12,0.4335
2014-05-13,0.4317
2014-05-14,-2.0057
2014-05-15,-1.5716
2014-05-16,-0.0371
2014-05-19,0.9287
2014-05-20,-0.1104
2014-05-21,0.0368
2014-05-22,-0.5893
2014-05-23,-0.9263
2014-05-27,0.4114
2014-05-28,0.6331
2014-05-29,-0.111
2014-05-30,-0.8892
2014-06-02,2.243
2014-06-03,2.1207
2014-06-04,2.184
2014-06-05,0.3854
2014-06-06,0.5585
2014-06-09,-0.3818
2014-06-10,-1.1847
2014-06-11,-2.0099
2014-06-12,-1.0435
2014-06-13,-1.1273
2014-06-16,0.4046
2014-06-17,8.2784
2014-06-18,-3.8566000000000003
2014-06-19,-0.3871
2014-06-20,-2.402
2014-06-23,-0.8324
2014-06-24,-1.2774
2014-06-25,-0.3697
2014-06-26,-0.1113
2014-06-27,-0.5572
2014-06-30,2.8016
2014-07-01,-0.2907
2014-07-02,-0.328
2014-07-03,-1.4625
2014-07-07,-0.1113
2014-07-08,-0.5572
2014-07-09,0.0
2014-07-10,-0.4856
2014-07-11,0.4148
2014-07-14,1.942
2014-07-15,-1.8335
2014-07-16,2.5028
2014-07-17,-0.7289
2014-07-18,0.514
2014-07-21,-0.1826
2014-07-22,-0.5488
2014-07-23,-0.8094
2014-07-24,-0.6306
2014-07-25,0.4106
2014-07-28,0.5204
2014-07-29,-0.1479
2014-07-30,-1.7407
2014-07-31,-3.0908
2014-08-01,-5.9121
2014-08-04,2.5217
2014-08-05,-0.4435
2014-08-06,-2.1061
2014-08-07,-0.8275
2014-08-08,0.1252
2014-08-11,0.4583
2014-08-12,0.7051
2014-08-13,3.6244
2014-08-14,1.92
2014-08-15,-0.2747
2014-08-18,3.0303
2014-08-19,1.6042999999999998
2014-08-20,-0.6767
2014-08-21,-1.1355
2014-08-22,-1.1485
2014-08-25,-2.5557
2014-08-26,0.5162
2014-08-27,-2.4911
2014-08-28,0.6894
2014-08-29,0.5236
2014-09-02,0.1202
2014-09-03,-0.6002
2014-09-04,0.8857
2014-09-05,0.2394
2014-09-08,1.5924
2014-09-09,-0.6661
2014-09-10,-0.3945
2014-09-11,-0.1584
2014-09-12,-1.0313
2014-09-15,-0.5611
2014-09-16,11.0439
2014-09-17,-4.5009
2014-09-18,-2.4705
2014-09-19,0.3507
2014-09-22,0.9709
2014-09-23,-0.0769
2014-09-24,-0.3849
2014-09-25,-1.932
2014-09-26,2.3641
