ticker,CPQQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-22,104.0
2009-07-06,0.0
2009-07-28,3.9215999999999998
2009-07-30,0.0
2009-07-31,-1.8868
2009-08-04,1.9231
2009-08-05,-24.5283
2009-08-06,2.5
2009-08-18,68.2927
2009-08-19,-18.8406
2009-08-20,16.0714
2009-08-21,30.7692
2009-08-24,34.1176
2009-08-25,9.6491
2009-08-26,4.0
2009-08-27,0.7692
2009-08-28,-0.7634
2009-08-31,-3.8462
2009-09-01,-7.2
2009-09-02,23.2759
2009-09-03,27.972
2009-09-04,2.1858
2009-09-08,-12.2995
2009-09-09,-0.6098
2009-09-10,1.227
2009-09-11,0.6061
2009-09-14,6.6265
2009-09-15,-16.3842
2009-09-16,-18.9189
2009-09-17,-10.8333
2009-09-18,-1.8692
2009-09-21,-2.8571
2009-09-22,17.647100000000002
2009-09-23,-6.6667
2009-09-24,0.0
2009-09-25,-1.7856999999999998
2009-09-28,13.6364
2009-09-29,15.2
2009-09-30,7.6389
2009-10-01,-6.4516
2009-10-02,-6.2069
2009-10-05,-0.7353
2009-10-06,2.2222
2009-10-07,0.0
2009-10-08,0.0
2009-10-09,-0.7246
2009-10-12,2.1898
2009-10-13,10.7143
2009-10-14,9.0323
2009-10-15,-5.9172
2009-10-16,3.7736
2009-10-19,-1.2121
2009-10-20,10.4294
2009-10-21,-7.7778
2009-10-22,-1.2048
2009-10-23,0.0
2009-10-26,12.8049
2009-10-27,-4.8649000000000004
2009-10-28,-15.3409
2009-10-29,11.4094
2009-10-30,0.0
2009-11-02,-0.6024
2009-11-03,2.4242
2009-11-04,2.3669000000000002
2009-11-05,-1.1561
2009-11-06,2.3392
2009-11-09,5.1429
2009-11-10,-4.8913
2009-11-11,3.4286
2009-11-12,-2.7624
2009-11-13,31.8182
2009-11-16,0.0
2009-11-17,-0.8621
2009-11-18,26.087
2009-11-19,-5.1724
2009-11-20,-2.1818
2009-11-23,4.8327
2009-11-24,1.0638
2009-11-25,0.3509
2009-11-27,-0.3497
2009-11-30,12.2807
2009-12-01,10.9375
2009-12-02,-2.5352
2009-12-03,1.1561
2009-12-04,3.1429
2009-12-07,-0.554
2009-12-08,-2.507
2009-12-09,-2.5714
2009-12-10,-2.9326
2009-12-11,4.2296
2009-12-14,7.2464
2009-12-15,-2.7027
2009-12-16,4.4444
2009-12-17,-0.266
2009-12-18,-4.0
2009-12-21,-5.5556
2009-12-22,-3.5294
2009-12-23,1.5244
2009-12-24,2.1021
