ticker,CFST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-21,0.0
2006-03-22,0.0
2006-04-03,2.7451
2006-04-12,6.8702
2006-04-13,3.5714
2006-04-17,6.8966
2006-04-18,0.0
2006-04-19,-2.9032
2006-04-20,0.3322
2006-04-21,0.0
2006-04-24,-0.6623
2006-04-25,0.0
2006-04-27,0.0
2006-04-28,0.0
2006-05-04,0.0
2006-05-08,-0.6667
2006-05-10,0.6711
2006-05-15,0.0
2006-05-19,0.0
2006-05-23,0.0
2006-06-07,0.0
2006-06-09,6.6667
2006-06-12,-4.375
2006-06-13,-3.5948
2006-06-16,3.3898
2006-06-20,1.6393
2006-06-23,-1.6129
2006-06-27,-1.6393
2006-07-12,0.0
2006-07-14,0.0
2006-08-02,0.0
2006-08-03,0.0
2006-08-04,0.0
2006-08-08,0.0
2006-08-31,6.6667
2006-09-06,0.0
2006-09-08,0.0
2006-09-14,0.0
2006-09-22,-4.6875
2006-09-25,-1.6393
2006-09-27,0.0
2006-09-29,0.0
2006-10-02,-1.0
2006-10-03,7.7440999999999995
2006-10-04,-0.9375
2006-10-06,0.9464
2006-10-12,-1.5625
2006-10-13,-0.9524
2006-10-16,-3.8462
2006-10-24,1.0
2006-10-25,2.9703
2006-10-27,-0.641
2006-10-31,-1.2903
2006-11-01,1.3072
2006-11-06,0.0
2006-11-07,0.0
2006-11-08,-1.2903
2006-11-14,-0.3268
2006-11-17,4.918
2006-11-20,-3.125
2006-11-21,-1.6129
2006-12-08,-3.2787
2006-12-11,0.339
2006-12-13,-0.3378
2006-12-14,0.0
2006-12-20,2.3729
2006-12-21,-0.6623
2006-12-22,-1.0
2006-12-26,-5.3872
2006-12-27,0.0
2006-12-28,-0.3559
2007-01-03,-5.0
2007-01-05,8.2707
2007-01-09,4.1667
2007-01-10,-3.3333
2007-01-11,2.7586
2007-01-12,-2.6846
2007-01-16,-1.3793
2007-01-17,4.8951
2007-01-18,0.0
2007-01-19,0.0
2007-01-23,1.2667
2007-01-24,-1.9092
2007-01-26,5.302
2007-01-30,-1.211
2007-01-31,1.6129
2007-02-01,-1.5873
2007-02-02,-0.9677
2007-02-07,0.0
2007-02-08,-2.2801
2007-02-09,1.6667
2007-02-12,-1.6393
2007-02-20,0.0
2007-02-28,-1.6667
2007-03-01,1.6949
2007-03-02,-5.0
2007-03-06,0.0
2007-03-09,-1.7544
2007-03-12,0.0
2007-03-15,7.1429
2007-03-19,0.0
2007-03-22,-3.3333
2007-03-27,1.0345
