ticker,AGGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-20,25.0
2007-02-28,2.0
2007-03-12,17.647100000000002
2007-03-13,-3.3333
2007-03-16,0.0
2007-03-19,-5.1724
2007-03-20,0.0
2007-03-23,0.0
2007-03-29,-7.2727
2007-04-03,-31.3725
2007-04-04,37.1429
2007-04-24,6.25
2007-04-25,0.0
2007-04-27,5.8824
2007-05-02,0.0
2007-05-04,-16.6667
2007-05-10,20.0
2007-05-18,-16.6667
2007-06-01,0.0
2007-06-07,-11.1111
2007-06-08,-22.5
2007-06-14,64.5161
2007-06-15,0.0
2007-06-18,0.0
2007-06-19,-0.9804
2007-06-21,-0.9901
2007-06-25,4.0
2007-06-26,-3.8462
2007-06-27,0.0
2007-06-28,4.0
2007-06-29,-3.8462
2007-07-02,20.0
2007-07-10,-10.0
2007-07-11,1.8519
2007-07-18,16.3636
2007-07-24,3.9063
2007-07-26,0.7519
2007-07-27,-10.4478
2007-07-30,16.6667
2007-07-31,2.8571
2007-08-01,0.0
2007-08-02,11.1111
2007-08-03,-2.5
2007-08-06,-3.8462
2007-08-07,6.6667
2007-08-08,6.25
2007-08-09,-1.1764999999999999
2007-08-10,-9.5238
2007-08-13,0.0
2007-08-16,5.2632
2007-08-21,0.0
2007-08-22,0.0
2007-08-23,5.0
2007-08-27,0.0
2007-08-28,-2.3810000000000002
2007-08-29,-2.439
2007-08-30,2.5
2007-08-31,-1.2195
2007-09-05,3.7037
2007-09-06,-4.7619
2007-09-07,5.0
2007-09-11,-23.8095
2007-09-13,17.1875
2007-09-14,-20.0
2007-09-17,-15.0
2007-09-18,27.451
2007-09-21,10.7692
2007-09-24,0.0
2007-09-25,0.0
2007-09-26,-2.7778
2007-09-28,0.0
2007-10-01,-1.4285999999999999
2007-10-02,7.2464
2007-10-09,-12.1622
2007-10-11,0.0
2007-10-15,7.6923
2007-10-17,-7.1429
2007-10-31,10.0
2007-11-07,2.0979
2007-11-08,2.7397
2007-11-12,5.3333
2007-11-13,-11.3924
2007-11-14,21.4286
2007-11-20,-4.7059
2007-12-03,-1.2346
2007-12-04,-13.75
2007-12-06,4.3478
2007-12-07,11.1111
2007-12-17,0.0
2007-12-27,0.0
2008-01-03,0.0
2008-01-08,-18.75
2008-01-22,-43.0769
2008-01-23,-2.7365
2008-01-28,38.9371
2008-01-30,-2.0
2008-01-31,4.0816
2008-02-01,27.451
2008-02-22,-53.8462
2008-02-26,0.0
2008-02-27,116.6667
2008-03-03,-46.1538
