ticker,LCLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-11,50.0
2015-06-12,233.3333
2015-06-19,3.0
2015-06-22,1.9417
2015-06-23,-3.8095
2015-08-19,0.0
2015-10-09,266.3366
2015-10-13,7.8378
2015-10-14,-23.5589
2015-10-15,-8.1967
2015-10-16,-26.7857
2015-10-22,0.0
2015-11-09,45.8537
2015-11-18,-31.4381
2015-12-02,-12.1951
2016-01-07,19.4444
2016-01-08,-2.3256
2016-02-17,21.4286
2016-02-18,-35.2941
2016-02-19,100.0
2016-02-22,-33.3333
2016-02-29,-10.0
2016-03-09,94.4444
2016-03-10,0.0
2016-03-11,0.0
2016-03-16,0.0
2016-03-17,-28.5714
2016-03-21,-4.0
2016-03-24,4.1667
2016-03-31,-20.0
2016-04-01,10.0
2016-04-05,9.0909
2016-04-06,-4.1667
2016-04-07,8.6957
2016-04-08,20.0
2016-04-11,0.0
2016-04-12,10.0
2016-04-13,-22.7273
2016-04-14,0.0
2016-04-15,25.4902
2016-04-18,-10.625
2016-04-19,1.3986
2016-04-20,-10.3448
2016-04-21,0.5048
2016-04-22,3.3246
2016-04-25,6.4815
2016-04-26,-6.087
2016-04-27,-3.7037
2016-04-28,0.0
2016-04-29,4.6154
2016-05-02,-0.7353
2016-05-03,-1.1806
2016-05-04,23.6355
2016-05-05,8.526
2016-05-06,4.7486
2016-05-09,6.6667
2016-05-10,11.875
2016-05-11,5.4749
2016-05-12,31.3559
2016-05-13,-2.9032
2016-05-16,18.5424
2016-05-17,-8.075
2016-05-18,7.4695
2016-05-19,-13.4752
2016-05-20,6.5574
2016-05-23,3.0769
2016-05-24,-10.4478
2016-05-25,3.3542
2016-05-26,-1.9553
2016-05-27,13.5485
2016-05-31,-2.2271
2016-06-01,-2.963
2016-06-02,-0.7634
2016-06-03,-1.0769
2016-06-06,-7.6205
2016-06-07,6.0606
2016-06-08,-13.4921
2016-06-09,6.422
2016-06-10,3.7931
2016-06-13,-3.6545
2016-06-14,-1.7241
2016-06-15,3.8596
2016-06-16,0.3378
2016-06-17,-3.7879
2016-06-20,4.8119
2016-06-21,5.1753
2016-06-22,-1.746
2016-06-23,12.7625
2016-06-24,-4.0115
2016-06-27,-12.3881
2016-06-28,-11.414
2016-06-29,6.9471
2016-06-30,11.4857
2016-07-01,-11.2903
2016-07-05,-1.8182
2016-07-06,2.7778
2016-07-07,-2.7027
2016-07-08,-4.6296
2016-07-11,-1.1408
2016-07-12,-1.7923
2016-07-13,0.0
