ticker,OSN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-21,-5.5556
2010-12-22,0.0
2010-12-23,-0.7059
2010-12-27,1.6588
2010-12-28,-1.8648
2010-12-29,16.3895
2010-12-30,2.0408
2010-12-31,-5.2
2011-01-03,5.0633
2011-01-04,-4.8168
2011-01-05,-1.9013
2011-01-06,-1.7204000000000002
2011-01-07,-0.4376
2011-01-10,-1.0989
2011-01-11,1.3333
2011-01-12,0.2193
2011-01-13,-4.1575
2011-01-14,3.6687
2011-01-18,0.2051
2011-01-19,-0.8764
2011-01-20,-0.0028
2011-01-21,-4.6563
2011-01-24,-1.1628
2011-01-25,-1.4118
2011-01-26,1.432
2011-01-27,0.7059
2011-01-28,-0.7009
2011-01-31,1.1764999999999999
2011-02-01,4.6192
2011-02-02,0.0306
2011-02-03,-0.2222
2011-02-04,-2.6726
2011-02-07,0.6865
2011-02-08,3.4091
2011-02-09,-1.0989
2011-02-10,-0.4444
2011-02-11,-2.6786
2011-02-14,-1.3761
2011-02-15,1.1657
2011-02-16,0.4569
2011-02-17,1.8307
2011-02-18,0.8989
2011-02-22,-1.5590000000000002
2011-02-23,-2.9412000000000003
2011-02-24,1.8648
2011-02-25,-0.4577
2011-02-28,-2.069
2011-03-01,-0.4695
2011-03-02,0.7075
2011-03-03,0.2342
2011-03-04,-1.6355
2011-03-07,0.4751
2011-03-08,-1.8913
2011-03-09,-3.3765
2011-03-10,-6.7334
2011-03-11,5.0837
2011-03-14,-4.5802
2011-03-15,-2.67
2011-03-16,-1.9144
2011-03-17,3.352
2011-03-18,-3.7838000000000003
2011-03-21,-3.9326
2011-03-22,5.2595
2011-03-23,1.6251
2011-03-24,-6.2425
2011-03-25,-0.6013
2011-03-28,-1.4445000000000001
2011-03-29,7.7341
2011-03-30,2.2099
2011-03-31,-2.973
2011-04-01,-4.1748
2011-04-04,-0.0036
2011-04-05,-2.6163
2011-04-06,-4.4776
2011-04-07,-0.9336
2011-04-08,-12.6217
2011-04-11,-13.3574
2011-04-12,-7.9167
2011-04-13,25.3394
2011-04-14,1.083
2011-04-15,-4.2857
2011-04-18,-0.3731
2011-04-19,20.9738
2011-04-20,2.7864
2011-04-21,1.8072
2011-04-25,7.3964
2011-04-26,-3.0303
2011-04-27,-2.2727
2011-04-28,-4.9419
2011-04-29,-1.8349
2011-05-02,0.6231
2011-05-03,-4.0248
2011-05-04,-1.9355
2011-05-05,0.6579
2011-05-06,0.6536
2011-05-09,-2.5974
2011-05-10,-1.0
