ticker,PROP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-23,0.0
2010-05-05,5.0
2010-05-18,14.2857
2010-05-20,-16.6667
2010-06-15,13.3333
2010-06-21,-5.8824
2010-06-22,46.875
2010-06-23,6.383
2010-06-24,0.0
2010-07-01,20.0
2010-07-12,-16.6667
2010-07-13,20.0
2010-08-12,-30.0
2010-09-24,19.0476
2011-02-25,0.0
2011-02-28,0.0
2011-03-01,-4.0
2011-03-02,0.0
2011-03-03,-4.1667
2011-03-04,8.6957
2011-03-07,0.0
2011-03-08,-4.0
2011-03-09,4.1667
2011-03-10,0.0
2011-03-11,0.0
2011-03-14,4.0
2011-03-15,7.6923
2011-03-16,14.2857
2011-03-17,-18.75
2011-03-18,-3.8462
2011-03-21,8.0
2011-03-22,-11.1111
2011-03-23,-20.8333
2011-03-24,21.0526
2011-03-25,-13.0435
2011-03-28,0.0
2011-03-29,-6.25
2011-03-30,6.6667
2011-03-31,-5.0
2011-04-01,-5.2632
2011-04-04,11.1111
2011-04-05,-7.4375
2011-04-06,8.0351
2011-04-07,-10.0
2011-04-08,-0.5556
2011-04-11,-11.1732
2011-04-12,-1.2579
2011-04-13,0.0
2011-04-14,-17.1975
2011-04-15,0.0
2011-04-18,-7.6923
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,8.3333
2011-04-25,3.8462
2011-04-26,-3.7037
2011-04-27,0.0
2011-04-29,-11.538499999999999
2011-05-02,4.3478
2011-05-03,-8.3333
2011-05-04,0.0
2011-05-05,18.1818
2011-05-06,3.8462
2011-05-10,3.7037
2011-05-11,-14.2857
2011-05-12,-4.1667
2011-05-13,4.3478
2011-05-16,4.1667
2011-05-17,8.0
2011-05-19,3.7037
2011-05-20,-14.2857
2011-05-23,16.6667
2011-05-24,-7.1429
2011-05-25,-7.6923
2011-05-27,20.8333
2011-05-31,-3.4483
2011-06-01,7.1429
2011-06-02,26.0
2011-06-03,-11.1111
2011-06-06,-6.5476
2011-06-07,-4.4586
2011-06-08,0.0
2011-06-09,-0.125
2011-06-10,6.8002
2011-06-13,-3.125
2011-06-14,-3.2258
2011-06-15,6.6667
2011-06-16,-0.625
2011-06-17,0.0
2011-06-20,-5.6604
2011-06-21,0.0
2011-06-22,3.3333
2011-06-23,-1.9355
2011-06-24,-1.3158
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,13.3333
2011-06-30,0.0
2011-07-01,5.8824
2011-07-05,-8.3333
2011-07-06,-14.5455
2011-07-07,15.2482
