ticker,XNET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-24,24.1667
2014-06-25,2.4161
2014-06-26,-0.7864
2014-06-27,-0.3303
2014-06-30,-0.7952
2014-07-01,-2.6052
2014-07-02,0.7545
2014-07-03,-0.953
2014-07-07,-1.512
2014-07-08,-3.7683
2014-07-09,-2.103
2014-07-10,5.5556
2014-07-11,-3.0175
2014-07-14,-0.3618
2014-07-15,-0.8715
2014-07-16,-3.1502
2014-07-17,-1.5129000000000001
2014-07-18,-0.5376
2014-07-21,-5.1737
2014-07-22,-0.2443
2014-07-23,2.7755
2014-07-24,0.8737
2014-07-25,0.3937
2014-07-28,-1.9607999999999999
2014-07-29,0.64
2014-07-30,-1.2719
2014-07-31,-3.3011
2014-08-01,5.6619
2014-08-04,2.6793
2014-08-05,-1.6884000000000001
2014-08-06,-0.3123
2014-08-07,4.1504
2014-08-08,-0.5263
2014-08-11,-2.1164
2014-08-12,-0.3861
2014-08-13,-2.1705
2014-08-14,-2.8526
2014-08-15,-1.2235
2014-08-18,-0.6606
2014-08-19,-5.5694
2014-08-20,-8.5387
2014-08-21,13.8595
2014-08-22,0.3381
2014-08-25,-4.0438
2014-08-26,-2.8973
2014-08-27,-1.7179
2014-08-28,3.0359
2014-08-29,0.2679
2014-09-02,2.2262
2014-09-03,0.0
2014-09-04,5.2265
2014-09-05,10.3477
2014-09-08,3.901
2014-09-09,0.2166
2014-09-10,-3.8184
2014-09-11,-1.4981
2014-09-12,-2.6616
2014-09-15,-4.2969
2014-09-16,-1.5510000000000002
2014-09-17,-2.1559
2014-09-18,-2.5423999999999998
2014-09-19,0.087
2014-09-22,-3.2146
2014-09-23,0.1795
2014-09-24,1.2545
2014-09-25,-3.3628
2014-09-26,-3.8462
2014-09-29,4.8571
2014-09-30,-2.3615
2014-10-01,-0.6512
2014-10-02,2.2472
2014-10-03,2.9304
2014-10-06,-0.6228
2014-10-07,-3.8496
2014-10-08,0.0
2014-10-09,-1.7284000000000002
2014-10-10,-3.7366
2014-10-13,-2.6574999999999998
2014-10-14,1.2133
2014-10-15,1.4485999999999999
2014-10-16,1.2309
2014-10-17,-2.2374
2014-10-20,-0.6965
2014-10-21,5.8116
2014-10-22,-1.1364
2014-10-23,-4.4061
2014-10-24,-2.1042
2014-10-27,-7.7789
2014-10-28,3.6626
2014-10-29,-3.3191
2014-10-30,-2.1041
2014-10-31,1.81
2014-11-03,2.4444
2014-11-04,6.5076
2014-11-05,-2.0367
2014-11-06,-0.9356
