ticker,SECO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-22,-23.0769
2017-09-25,7.5
2017-09-26,-4.0
2017-09-27,-9.2054
2017-09-28,-7.7908
2017-09-29,3.0093
2017-10-02,1.3483
2017-10-03,1.1086
2017-10-04,2.193
2017-10-05,-0.2146
2017-10-06,-4.1935
2017-10-09,0.4489
2017-10-10,-10.6145
2017-10-11,-15.25
2017-10-12,2.8024
2017-10-13,17.0732
2017-10-16,1.7157
2017-10-17,-6.6265
2017-10-18,0.3871
2017-10-19,-5.2699
2017-10-20,7.1913
2017-10-23,1.2658
2017-10-24,-3.25
2017-10-25,-7.2351
2017-10-26,-1.3928
2017-10-27,0.2825
2017-10-30,-0.5634
2017-10-31,2.5496
2017-11-01,-0.6906
2017-11-02,11.4047
2017-11-03,-0.1873
2017-11-06,0.9381
2017-11-07,0.3717
2017-11-08,-1.2346
2017-11-09,0.75
2017-11-10,-0.4963
2017-11-13,10.9726
2017-11-14,-3.2584
2017-11-15,4.4135
2017-11-16,-8.5651
2017-11-17,0.4866
2017-11-20,2.1792
2017-11-21,-2.8436
2017-11-22,1.7073
2017-11-24,-1.3189
2017-11-27,5.1033
2017-11-28,1.5029
2017-11-29,-2.3918
2017-11-30,1.4002
2017-12-01,-4.603
2017-12-04,1.8094000000000001
2017-12-05,0.8886
2017-12-06,1.7029
2017-12-07,0.2309
2017-12-08,1.3825
2017-12-11,-1.0227
2017-12-12,1.1481
2017-12-13,-0.454
2017-12-14,1.5964
2017-12-15,0.0
2017-12-18,5.4994
2017-12-19,-4.1489
2017-12-20,3.8846
2017-12-21,0.8547
2017-12-22,-0.4237
2017-12-26,0.0
2017-12-27,1.4894
2017-12-28,2.2013
2017-12-29,-0.9231
2018-01-02,-2.2774
2018-01-03,1.589
2018-01-04,0.0
2018-01-05,3.024
2018-01-08,0.5061
2018-01-09,-1.3092
2018-01-10,1.1224
2018-01-11,1.6145
2018-01-12,6.6533999999999995
2018-01-16,-2.9795
2018-01-17,1.1516
2018-01-18,-1.0436
2018-01-19,3.3557
2018-01-22,6.7718
2018-01-23,5.4735
2018-01-24,16.4745
2018-01-25,-0.5658
2018-01-26,-0.6401
2018-01-29,2.1475
2018-01-30,-1.6118000000000001
2018-01-31,2.7778
2018-02-01,-3.465
2018-02-02,-4.4508
2018-02-05,-2.4793
2018-02-06,-1.8105
2018-02-07,5.9239
2018-02-08,-1.7778
2018-02-09,-6.4103
2018-02-12,5.7212
2018-02-13,2.1341
