ticker,REDFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-14,60.9375
2000-06-15,34.3042
2000-06-16,-10.3614
2000-06-19,-6.4516
2000-06-20,-13.505700000000001
2000-06-21,11.9601
2000-06-22,2.9674
2000-06-23,-10.3746
2000-06-26,-4.1801
2000-06-27,-0.6711
2000-06-28,-4.0541
2000-06-29,-11.6197
2000-06-30,-10.757
2000-07-03,8.9286
2000-07-05,10.6557
2000-07-06,-7.4074
2000-07-07,6.0
2000-07-10,-3.3962
2000-07-11,-3.9063
2000-07-12,4.4715
2000-07-13,-7.7821
2000-07-14,-2.9536
2000-07-17,16.9565
2000-07-18,-8.5502
2000-07-19,-3.252
2000-07-20,-2.521
2000-07-21,1.7241
2000-07-24,-7.6271
2000-07-25,5.9633
2000-07-26,-3.4632
2000-07-27,-11.2108
2000-07-28,-11.1111
2000-07-31,-9.0909
2000-08-01,-13.125
2000-08-02,-5.7554
2000-08-03,-5.3435
2000-08-04,3.2258
2000-08-07,15.625
2000-08-08,25.6757
2000-08-09,-17.2043
2000-08-10,-4.5455
2000-08-11,3.4013999999999998
2000-08-14,0.0
2000-08-15,1.3158
2000-08-16,-0.6494
2000-08-17,1.9607999999999999
2000-08-18,6.4103
2000-08-21,6.6265
2000-08-22,-2.8249
2000-08-23,-3.4884
2000-08-24,4.2169
2000-08-25,0.578
2000-08-28,-8.046
2000-08-29,1.875
2000-08-30,3.0675
2000-08-31,-1.3393
2000-09-01,-5.8824
2000-09-05,-3.2051
2000-09-06,3.3113
2000-09-07,0.641
2000-09-08,-1.9108
2000-09-11,-3.8961
2000-09-12,-2.027
2000-09-13,-3.4483
2000-09-14,-1.4285999999999999
2000-09-15,-2.8986
2000-09-18,-1.4925
2000-09-19,0.7576
2000-09-20,3.7594
2000-09-21,0.7246
2000-09-22,-5.036
2000-09-25,-2.6515
2000-09-26,-6.6148
2000-09-27,0.0
2000-09-28,0.0
2000-09-29,-2.5
2000-10-02,-5.9829
2000-10-03,-7.2727
2000-10-04,-5.8824
2000-10-05,-8.3333
2000-10-06,-4.5455
2000-10-09,0.0
2000-10-10,-1.1905000000000001
2000-10-11,-13.8554
2000-10-12,6.2937
2000-10-13,0.0
2000-10-16,-2.6316
2000-10-17,-8.1081
2000-10-18,-5.8824
2000-10-19,0.0
2000-10-20,0.7813
2000-10-23,-0.7752
2000-10-24,-1.5625
2000-10-25,-1.5873
2000-10-26,-3.2258
2000-10-27,12.5
2000-10-30,18.5185
2000-10-31,1.25
