ticker,SNNN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-02,23.9506
2017-06-05,63.3466
2017-08-21,-0.4878
2017-10-04,-29.902
2017-11-07,-30.0699
2017-11-08,0.0
2017-11-13,0.0
2017-11-20,-12.5
2017-11-28,-42.8571
2017-11-30,-70.0
2017-12-04,233.3333
2017-12-06,0.0
2017-12-19,100.0
2017-12-21,-30.0
2018-01-23,-28.5714
2018-01-24,0.0
2018-01-25,15.0
2018-01-29,73.913
2018-02-16,-25.0
2018-03-01,0.0
2018-03-14,-33.3333
2018-03-15,45.0
2018-03-23,37.931
2018-08-03,0.0
2018-08-08,-20.0
2018-08-10,-79.375
2018-08-13,163.6364
2019-02-08,-71.2644
2019-12-17,-15.72
