ticker,BDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-19,-1.7638
2004-07-20,-0.2993
2004-07-21,-2.051
2004-07-22,1.4811
2004-07-23,-1.8117999999999999
2004-07-26,0.8713
2004-07-27,2.6931000000000003
2004-07-28,-1.1381000000000001
2004-07-29,-0.9009
2004-07-30,-1.7677
2004-08-02,1.1825
2004-08-03,-0.7114
2004-08-04,2.303
2004-08-05,-1.901
2004-08-06,-1.6827999999999999
2004-08-09,-0.5705
2004-08-10,4.0689
2004-08-11,-2.6566
2004-08-12,-2.2657
2004-08-13,0.6849
2004-08-16,0.0
2004-08-17,-0.4186
2004-08-18,3.2055
2004-08-19,-1.222
2004-08-20,3.0412
2004-08-23,-1.0005
2004-08-24,1.0611
2004-08-25,-0.15
2004-08-26,0.3005
2004-08-27,1.0484
2004-08-30,0.2964
2004-08-31,-1.33
2004-09-01,2.2466
2004-09-02,0.2441
2004-09-03,-1.0229
2004-09-07,-0.0984
2004-09-08,0.4433
2004-09-09,1.2751000000000001
2004-09-10,-0.0484
2004-09-13,2.4225
2004-09-14,-0.2838
2004-09-15,1.2808
2004-09-16,3.4272
2004-09-17,2.1335
2004-09-20,-2.0
2004-09-21,1.3152
2004-09-22,-2.9096
2004-09-23,-0.1844
2004-09-24,-1.6627999999999998
2004-09-27,-2.7713
2004-09-28,3.0918
2004-09-29,-0.1874
2004-09-30,2.3474
2004-10-01,3.0734
2004-10-04,2.4922
2004-10-05,-0.3474
2004-10-06,0.1307
2004-10-07,-2.5239000000000003
2004-10-08,0.0
2004-10-11,1.4285999999999999
2004-10-12,-5.1056
2004-10-13,-1.9017
2004-10-14,-2.2222
2004-10-15,0.6286
2004-10-18,1.1052
2004-10-19,0.3327
2004-10-20,-0.5211
2004-10-21,2.3810000000000002
2004-10-22,-1.5814
2004-10-25,-0.7089
2004-10-26,2.1418
2004-10-27,3.2153
2004-10-28,0.0451
2004-10-29,0.3159
2004-11-01,-0.135
2004-11-02,-0.4505
2004-11-03,0.6787
2004-11-04,0.1798
2004-11-05,-0.4038
2004-11-08,-0.1351
2004-11-09,4.7812
2004-11-10,1.4636
2004-11-11,1.2304
2004-11-12,0.3772
2004-11-15,0.5428
2004-11-16,-2.99
2004-11-17,3.0394
2004-11-18,0.0831
2004-11-19,-3.1133
2004-11-22,-0.2142
2004-11-23,-0.1717
2004-11-24,2.2366
2004-11-26,-1.2621
2004-11-29,-0.5965
2004-11-30,-0.6001
2004-12-01,3.0617
2004-12-02,-1.6736
