ticker,SUPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-02,6.8901
2012-05-03,5.5748999999999995
2012-05-04,-1.4851
2012-05-07,6.3652
2012-05-08,5.3543
2012-05-09,0.2242
2012-05-10,-0.0746
2012-05-11,-2.9851
2012-05-14,0.6154
2012-05-15,-3.5168
2012-05-16,-3.1696
2012-05-17,-5.0736
2012-05-18,8.6207
2012-05-21,-12.0635
2012-05-22,-0.722
2012-05-23,8.8909
2012-05-24,-0.1503
2012-05-25,-0.6689
2012-05-29,1.8519
2012-05-30,-5.9504
2012-05-31,-3.5149
2012-06-01,-1.0929
2012-06-04,-7.9190000000000005
2012-06-05,-7.0
2012-06-06,3.2258
2012-06-07,9.1667
2012-06-08,-3.2443
2012-06-11,-2.7613
2012-06-12,0.0
2012-06-13,1.4199
2012-06-14,1.7
2012-06-15,-1.4748999999999999
2012-06-18,2.5948
2012-06-19,-0.7782
2012-06-20,-0.9804
2012-06-21,0.396
2012-06-22,1.5779
2012-06-25,10.8738
2012-06-26,114.1856
2012-06-27,-6.1325
2012-06-28,-10.2787
2012-06-29,-9.1262
2012-07-02,5.7692
2012-07-03,-1.3131
2012-07-05,-1.1259000000000001
2012-07-06,24.7412
2012-07-09,-4.4813
2012-07-10,4.344
2012-07-11,-1.8317999999999999
2012-07-12,-5.8524
2012-07-13,-7.2072
2012-07-16,-4.0777
2012-07-17,8.1984
2012-07-18,36.9504
2012-07-19,1.5027
2012-07-20,-10.7672
2012-07-23,-11.991
2012-07-24,7.1123
2012-07-25,1.3599999999999999
2012-07-26,1.7364000000000002
2012-07-27,0.3879
2012-07-30,0.2318
2012-07-31,-5.7055
2012-08-01,-2.0442
2012-08-02,-5.5927
2012-08-03,4.4209
2012-08-06,-0.254
2012-08-07,3.9898
2012-08-08,2.449
2012-08-09,2.9482
2012-08-10,-3.4056
2012-08-13,6.0096
2012-08-14,-5.7445
2012-08-15,2.8067
2012-08-16,-2.4961
2012-08-17,-0.96
2012-08-20,-0.2423
2012-08-21,0.081
2012-08-22,-0.0809
2012-08-23,-3.8866
2012-08-24,-4.1281
2012-08-27,3.5149
2012-08-28,3.9898
2012-08-29,0.9796
2012-08-30,-0.6467
2012-08-31,-0.0814
2012-09-04,-0.6515
2012-09-05,1.0656
2012-09-06,-0.2433
2012-09-07,-1.3820999999999999
2012-09-10,-2.3083
2012-09-11,0.0844
2012-09-12,-0.8432
2012-09-13,-0.9354
2012-09-14,-1.8883999999999999
2012-09-17,-1.1374
