ticker,WTRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-29,-0.9259
2019-04-01,-0.8598
2019-04-02,-2.6961
2019-04-03,-5.2509
2019-04-04,-1.8405
2019-04-05,7.9167
2019-04-08,-2.2394
2019-04-09,2.6461
2019-04-10,5.2328
2019-04-11,-4.4241
2019-04-12,-1.205
2019-04-15,2.2265
2019-04-16,3.1818
2019-04-17,2.4963
2019-04-18,0.8238
2019-04-22,-2.4867
2019-04-23,0.8197
2019-04-24,0.4517
2019-04-25,-3.0935
2019-04-26,-1.6333
2019-04-29,0.9434
2019-04-30,-0.5607
2019-05-01,2.1805
2019-05-02,-2.3179
2019-05-03,-2.7495000000000003
2019-05-06,-3.6406
2019-05-07,-1.8087
2019-05-08,2.3332
2019-05-09,-0.6
2019-05-10,0.6036
2019-05-13,3.52
2019-05-14,-0.1159
2019-05-15,0.5029
2019-05-16,-1.4242
2019-05-17,-1.0933
2019-05-20,2.6056
2019-05-21,0.1539
2019-05-22,-1.1525
2019-05-23,0.583
2019-05-24,3.0526
2019-05-28,0.8624
2019-05-29,0.3717
2019-05-30,-0.4815
2019-05-31,-3.9077
2019-06-03,3.2533
2019-06-04,-1.0128
2019-06-05,-1.9704000000000002
2019-06-06,1.0437
2019-06-07,-5.5088
2019-06-10,9.3117
2019-06-11,-1.5926
2019-06-12,2.1453
2019-06-13,-0.1105
2019-06-14,1.4755
2019-06-17,0.0
2019-06-18,1.8175
2019-06-19,0.5355
2019-06-20,-0.5682
2019-06-21,-1.9285999999999999
2019-06-24,1.2017
2019-06-25,-1.7631999999999999
2019-06-26,-0.1099
2019-06-27,0.3667
2019-06-28,0.1827
2019-07-01,-1.6776
2019-07-02,-0.408
2019-07-03,-2.4581
2019-07-05,1.7182
2019-07-08,-0.7883
2019-07-09,0.3405
2019-07-10,-0.641
2019-07-11,-1.0626
2019-07-12,0.6521
2019-07-15,-1.0671
2019-07-16,-4.3914
2019-07-17,-1.4102000000000001
2019-07-18,-1.9616
2019-07-19,-3.7932
2019-07-22,-0.13
2019-07-23,-0.1302
2019-07-24,1.8679000000000001
2019-07-25,-1.8763
2019-07-26,0.2173
2019-07-29,-1.1275
2019-07-30,-15.0
2019-07-31,-2.1672
2019-08-01,10.9177
2019-08-02,-4.8502
2019-08-05,-2.3988
2019-08-06,10.087
2019-08-07,1.0233
2019-08-08,8.2413
2019-08-09,0.2127
2019-08-12,0.0424
2019-08-13,0.2121
2019-08-14,-1.3971
2019-08-15,2.748
