ticker,TAYO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-03,300.0
2014-04-04,12.5
2014-04-07,0.0
2014-04-09,-22.2222
2014-04-10,28.0
2014-04-11,0.0
2014-04-14,2.6786
2014-04-15,0.0
2014-04-17,-6.5217
2014-04-21,-6.9767
2014-04-22,0.0
2014-04-23,7.5
2014-04-24,2.3256
2014-04-25,-9.0909
2014-04-28,0.0
2014-04-29,5.0
2014-04-30,0.0
2014-05-01,-14.2857
2014-05-02,16.6667
2014-05-05,0.9524
2014-05-06,-29.2453
2014-05-07,6.6667
2014-05-08,9.375
2014-05-09,-9.1429
2014-05-13,0.0
2014-05-14,6.9182
2014-05-15,35.2941
2014-05-16,-17.3913
2014-05-23,-2.6316
2014-05-27,8.6486
2014-05-28,-0.4975
2014-05-29,0.0
2014-05-30,7.5
2014-06-02,11.6279
2014-06-03,0.013
2014-06-04,-6.2622
2014-06-05,-0.4444
2014-06-06,-0.8929
2014-06-09,1.8018
2014-06-10,-22.5664
2014-06-11,2.8571
2014-06-12,0.0
2014-06-13,5.5556
2014-06-16,0.0
2014-06-17,-13.1579
2014-06-18,-1.2121
2014-06-19,-10.5828
2014-06-20,9.777
2014-06-23,12.5
2014-06-24,0.0
2014-06-25,0.5556
2014-06-26,4.6961
2014-06-27,-5.9466
2014-06-30,-1.813
2014-07-01,5.7143
2014-07-02,-1.6216
2014-07-03,-6.5934
2014-07-07,0.0
2014-07-08,-2.9412000000000003
2014-07-09,3.0303
2014-07-10,-3.5294
2014-07-11,0.6098
2014-07-14,-2.4242
2014-07-15,-4.9689
2014-07-16,-0.6536
2014-07-17,-0.6579
2014-07-18,-0.6623
2014-07-21,-12.6667
2014-07-22,-4.5802
2014-07-23,-4.0
2014-07-24,1.6667
2014-07-25,-10.6557
2014-07-28,-7.3394
2014-07-29,15.8416
2014-07-30,21.3675
2014-07-31,19.7183
2014-08-01,-2.9412000000000003
2014-08-04,-9.0909
2014-08-05,-0.6667
2014-08-06,-2.6846
2014-08-07,3.4483
2014-08-08,0.0
2014-08-11,-3.7333
2014-08-12,-9.9723
2014-08-13,-8.461500000000001
2014-08-14,1.6806999999999999
2014-08-15,9.9174
2014-08-18,-9.7744
2014-08-19,4.1667
2014-08-20,-0.8
2014-08-21,4.0323
2014-08-22,-8.5271
2014-08-25,1.6949
2014-08-26,-6.6667
2014-08-27,-0.4464
2014-08-28,-0.5269
2014-08-29,0.0789
2014-09-02,-5.4054
2014-09-03,0.9524
2014-09-04,-4.717
