ticker,WWW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.7143
2000-01-04,0.0
2000-01-05,-2.4242
2000-01-06,0.0
2000-01-07,2.4845
2000-01-10,4.2424
2000-01-11,-3.4884
2000-01-12,-3.012
2000-01-13,1.8634
2000-01-14,-0.6098
2000-01-18,-1.227
2000-01-19,3.1056
2000-01-20,4.8193
2000-01-21,-3.4483
2000-01-24,-5.3571
2000-01-25,3.7736
2000-01-26,-4.2424
2000-01-27,-6.962
2000-01-28,0.0
2000-01-31,-0.6803
2000-02-01,-0.6849
2000-02-02,1.3793
2000-02-03,7.483
2000-02-04,22.1519
2000-02-07,-4.6632
2000-02-08,-3.2609
2000-02-09,-5.618
2000-02-10,-1.1905000000000001
2000-02-11,-3.012
2000-02-14,18.6335
2000-02-15,-0.5236
2000-02-16,-3.1579
2000-02-17,1.6303999999999998
2000-02-18,-5.3476
2000-02-22,0.0
2000-02-23,1.6949
2000-02-24,-1.6667
2000-02-25,1.1299
2000-02-28,-3.9106
2000-02-29,6.9767
2000-03-01,-1.6303999999999998
2000-03-02,-2.7624
2000-03-03,0.0
2000-03-06,0.5682
2000-03-07,-1.6949
2000-03-08,0.5747
2000-03-09,-1.1429
2000-03-10,-0.578
2000-03-13,-2.3256
2000-03-14,3.5714
2000-03-15,1.1494
2000-03-16,1.1364
2000-03-17,14.6067
2000-03-20,4.4118
2000-03-21,-1.4085
2000-03-22,-0.4762
2000-03-23,0.0
2000-03-24,-2.3923
2000-03-27,-4.902
2000-03-28,-1.0309
2000-03-29,0.0
2000-03-30,-0.75
2000-03-31,-7.3684
2000-04-03,8.5227
2000-04-04,-2.0942
2000-04-05,0.0
2000-04-06,6.4171
2000-04-07,-4.5226
2000-04-10,1.0526
2000-04-11,2.6042
2000-04-12,7.6142
2000-04-13,-9.434
2000-04-14,-4.1667
2000-04-17,-1.087
2000-04-18,0.5495
2000-04-19,0.5464
2000-04-20,3.2609
2000-04-24,-1.0526
2000-04-25,0.0
2000-04-26,-2.1277
2000-04-27,0.5435
2000-04-28,3.7838000000000003
2000-05-01,-3.125
2000-05-02,-0.5376
2000-05-03,0.0
2000-05-04,2.1622
2000-05-05,0.5291
2000-05-08,-3.1579
2000-05-09,3.8043
2000-05-10,-4.1885
2000-05-11,-0.5464
2000-05-12,1.6484
2000-05-15,-2.7027
2000-05-16,3.3333
2000-05-17,-3.2258
2000-05-18,-1.6667
2000-05-19,-1.6949
2000-05-22,-1.1494
2000-05-23,0.0
