ticker,TGRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-03,53.8462
2017-03-06,-4.0
2017-03-07,30.2083
2017-03-08,-39.99
2017-03-09,34.6442
2017-03-10,-48.5149
2017-04-05,73.0769
2017-04-06,-43.3333
2017-04-07,-78.4314
2017-06-13,718.0909
2017-06-21,-87.7764
2017-10-17,127.2727
2017-11-21,0.0
2017-12-05,160.0
2017-12-07,-61.5385
2017-12-12,219.96
2017-12-13,-62.4953
2018-01-04,166.6333
2018-01-05,0.0125
2018-01-08,-12.5
2018-01-09,0.0
2018-01-11,-27.1429
2018-01-12,-46.0784
2018-01-16,445.4545
2018-01-17,-53.3333
2018-02-21,107.1429
2018-02-22,-64.8276
2018-03-06,1.9607999999999999
2018-03-16,82.6923
2018-03-23,13.6842
2018-03-26,-30.5556
2018-04-02,2.6667
2018-04-11,0.0
2018-04-16,0.0
2018-04-19,0.0
2018-04-23,-9.0909
2018-04-24,-7.1429
2018-04-25,-15.3846
2018-05-10,1.0
2018-05-17,-8.1908
2018-07-24,388.2353
2018-07-26,-1.6064
2018-08-01,-18.3673
2018-08-08,-25.0
2018-08-10,-31.3333
2018-08-13,-2.9126
2018-08-27,125.0
2018-09-18,-36.4444
2018-10-23,1.3986
2018-10-24,-27.5862
2018-11-08,0.0
2018-11-09,0.0
2018-11-30,33.3333
2018-12-07,14.2857
2018-12-11,-35.9375
2018-12-13,-26.8195
2019-01-11,1.3332
2019-03-04,89.4488
2019-03-05,-44.4444
2019-03-12,37.5
2019-03-26,-9.0909
2019-03-27,15.0
2019-04-24,-34.7826
2019-04-29,-33.3333
2019-06-03,-55.02
2019-06-10,-22.1876
2019-06-25,-14.2857
2019-07-18,140.0
2020-02-19,-30.5556
2020-07-24,100.0
2020-07-30,10.0
