ticker,GTLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-26,1.3333
2006-07-27,-0.9868
2006-07-28,0.3322
2006-07-31,1.9868000000000001
2006-08-01,3.8961
2006-08-02,1.75
2006-08-03,1.0442
2006-08-04,-4.5593
2006-08-07,1.5287
2006-08-08,-1.3801999999999999
2006-08-09,0.5089
2006-08-10,-0.9494
2006-08-11,-0.8946
2006-08-14,-2.5789999999999997
2006-08-15,-0.6618
2006-08-16,1.5323
2006-08-17,0.7218
2006-08-18,-20.9121
2006-08-21,1.5651000000000002
2006-08-22,1.4599
2006-08-23,0.9592
2006-08-24,4.8298
2006-08-25,-1.8881999999999999
2006-08-28,0.2309
2006-08-29,0.6144
2006-08-30,-0.687
2006-08-31,-0.0769
2006-09-01,-0.0769
2006-09-05,6.0046
2006-09-06,0.9441
2006-09-07,-1.223
2006-09-08,1.311
2006-09-11,-1.4378
2006-09-12,-1.0941
2006-09-13,2.0649
2006-09-14,-1.5896
2006-09-15,1.4684
2006-09-18,0.3618
2006-09-19,-0.7931
2006-09-20,0.7267
2006-09-21,-2.5974
2006-09-22,-2.7407
2006-09-25,-3.2749
2006-09-26,0.5512
2006-09-27,-4.9334
2006-09-28,1.5651000000000002
2006-09-29,-0.1622
2006-10-02,-7.4736
2006-10-03,-0.5268
2006-10-04,5.4722
2006-10-05,1.2551999999999999
2006-10-06,-1.5702
2006-10-09,7.8925
2006-10-10,0.9339
2006-10-11,-0.5397
2006-10-12,0.6977
2006-10-13,-0.4619
2006-10-16,0.5414
2006-10-17,-0.8462
2006-10-18,2.0171
2006-10-19,2.2053
2006-10-20,-2.4554
2006-10-23,1.5255999999999998
2006-10-24,-0.0751
2006-10-25,2.7068
2006-10-26,4.0996
2006-10-27,1.2658
2006-10-30,0.4861
2006-10-31,-0.4147
2006-11-01,-3.8862
2006-11-02,-9.0253
2006-11-03,-0.1587
2006-11-06,1.6693
2006-11-07,3.5966
2006-11-08,1.8868
2006-11-09,-1.4074
2006-11-10,2.1788
2006-11-13,0.2206
2006-11-14,9.2443
2006-11-15,2.3506
2006-11-16,-0.1312
2006-11-17,-0.2628
2006-11-20,-0.3294
2006-11-21,0.6609
2006-11-22,0.6566
2006-11-24,-1.5655999999999999
2006-11-27,-7.3559
2006-11-28,0.5007
2006-11-29,3.7721999999999998
2006-11-30,1.2346
2006-12-01,1.626
2006-12-04,0.6
2006-12-05,-1.1266
2006-12-06,1.6756
2006-12-07,0.7251
2006-12-08,1.3089
2006-12-11,0.0
