ticker,HVCW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-08,0.0
2014-07-16,0.0
2014-07-17,-14.2857
2014-08-07,0.0
2014-08-22,16.6667
2014-09-02,-42.8571
2014-09-03,0.0
2014-09-04,-25.0
2014-10-03,-53.3333
2014-10-06,-42.8571
2014-10-08,25.0
2014-10-09,-40.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,-20.0
2014-10-16,-29.1667
2014-10-17,-6.9853
2014-10-21,-30.4348
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,-9.0909
2014-10-28,10.0
2014-10-29,9.0909
2014-11-20,-78.125
2015-01-06,433.3333
2015-01-08,0.0
2015-01-21,-81.25
2015-01-22,0.0
2015-01-23,433.3333
2015-02-23,-7.1429
2015-04-28,100.0
2015-04-29,26.9231
2015-04-30,0.0
2015-05-01,3.4091
2015-05-04,-9.1575
2015-05-05,12.9032
2015-05-07,0.0
2015-05-11,-8.5714
2015-05-12,-3.125
2015-05-15,10.0806
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,-41.3919
2015-05-21,20.0
2015-05-22,41.6667
2015-05-26,0.0
2015-05-27,-20.5882
2015-05-28,7.4074
2015-05-29,16.8103
2015-06-02,-22.6937
2015-06-03,-4.5346
2015-06-04,2.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,17.647100000000002
2015-06-11,0.0
2015-06-12,-16.25
2015-06-15,18.6567
2015-06-16,-7.7568
2015-06-17,0.0
2015-06-18,-12.2727
2015-06-19,-0.5181
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,5.2083
2015-06-26,-1.7327
2015-06-29,0.0
2015-06-30,-27.4559
2015-07-08,-2.7778
2015-07-13,-14.2857
2015-07-14,0.0
2015-07-20,-13.3333
2015-07-24,0.0
2015-07-27,15.3846
2015-07-31,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,-3.3333
2015-08-17,14.2241
2015-08-19,-12.4528
2015-08-20,0.0
2015-08-21,0.0
2015-08-24,0.0
2015-08-25,3.4483
2015-08-28,-6.6667
2015-09-02,7.1429
2015-09-04,0.0
2015-09-08,3.3333
2015-09-14,0.0
2015-09-17,-16.129
2015-09-18,19.2308
2015-09-21,0.0
2015-09-25,-35.4839
2015-09-29,25.0
2015-10-07,-20.0
2015-10-13,25.0
2015-10-22,-12.0
2015-10-23,-9.0909
2015-10-26,70.0
2015-10-27,52.9412
2015-10-28,-19.2308
2015-10-29,-14.2857
