ticker,JHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-31,2.2222
2017-06-01,8.5038
2017-06-02,-1.9151
2017-06-05,-0.6008
2017-06-06,-4.5029
2017-06-07,0.3165
2017-06-08,0.2524
2017-06-09,-0.2203
2017-06-12,1.8291
2017-06-13,1.3936
2017-06-14,3.818
2017-06-15,-2.589
2017-06-16,-2.0538
2017-06-19,2.2202
2017-06-20,-0.7843
2017-06-21,-0.0608
2017-06-22,0.6693
2017-06-23,-0.5742
2017-06-26,0.9119
2017-06-27,-0.4217
2017-06-28,1.8149
2017-06-29,-0.2971
2017-06-30,-1.3409
2017-07-03,-1.8423
2017-07-05,0.4615
2017-07-06,-3.2159
2017-07-07,2.8165
2017-07-10,3.3548999999999998
2017-07-11,-1.0125
2017-07-12,1.6245
2017-07-13,0.8881
2017-07-14,-0.2347
2017-07-17,-0.5294
2017-07-18,-0.2365
2017-07-19,-0.652
2017-07-20,0.0
2017-07-21,-1.2530000000000001
2017-07-24,1.6918
2017-07-25,2.1093
2017-07-26,-1.0765
2017-07-27,-2.3824
2017-07-28,-0.9943
2017-07-31,1.9172
2017-08-01,1.5826
2017-08-02,-1.4403000000000001
2017-08-03,-0.0298
2017-08-04,1.8197999999999999
2017-08-07,-0.1465
2017-08-08,4.108
2017-08-09,0.8174
2017-08-10,-1.314
2017-08-11,0.8215
2017-08-14,0.281
2017-08-15,-1.3729
2017-08-16,0.9943
2017-08-17,-1.476
2017-08-18,-1.1524
2017-08-21,0.5538
2017-08-22,0.0
2017-08-23,0.6957
2017-08-24,0.2303
2017-08-25,1.3211
2017-08-28,-0.4252
2017-08-29,-2.7612
2017-08-30,0.0293
2017-08-31,1.1414
2017-09-01,0.6655
2017-09-05,-3.9379
2017-09-06,0.0
2017-09-07,-0.6284
2017-09-08,0.542
2017-09-11,0.599
2017-09-12,1.2206
2017-09-13,-2.8235
2017-09-14,0.5448
2017-09-15,0.1204
2017-09-18,0.7817
2017-09-19,0.9845
2017-09-20,0.4431
2017-09-21,-1.3529
2017-09-22,1.2522
2017-09-25,-0.2356
2017-09-26,-0.1771
2017-09-27,1.8332000000000002
2017-09-28,-0.2323
2017-09-29,1.397
2017-10-02,1.0333
2017-10-03,-0.3693
2017-10-04,0.6558
2017-10-05,-0.8782
2017-10-06,-0.5716
2017-10-09,0.0287
2017-10-10,0.6034
2017-10-11,-0.1999
2017-10-12,0.7155
2017-10-13,0.3126
2017-10-16,-0.2266
2017-10-17,-0.2555
2017-10-18,0.427
