ticker,CSTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-25,33.75
2019-07-26,7.4299
2019-07-29,4.3497
2019-07-30,-4.9187
2019-07-31,-13.8536
2019-08-01,11.7048
2019-08-02,-0.6378
2019-08-05,-3.7597
2019-08-06,2.0962
2019-08-07,-7.1395
2019-08-08,-1.7085
2019-08-09,9.9693
2019-08-12,-3.4868
2019-08-13,3.42
2019-08-14,-0.0932
2019-08-15,-4.4289
2019-08-16,-1.2195
2019-08-19,-3.7037
2019-08-20,-2.9744
2019-08-21,5.3383
2019-08-22,14.1495
2019-08-23,3.2967
2019-08-26,2.1277
2019-08-27,4.8333
2019-08-28,-0.6359
2019-08-29,2.92
2019-08-30,8.5115
2019-09-03,-0.0358
2019-09-04,-6.9151
2019-09-05,-0.5004
2019-09-06,-1.7021
2019-09-09,-11.4522
2019-09-10,-2.0889
2019-09-11,-1.5887
2019-09-12,2.2601
2019-09-13,-0.6315
2019-09-16,-3.0413
2019-09-17,3.7921
2019-09-18,1.4434
2019-09-19,2.0009
2019-09-20,0.2616
2019-09-23,1.5652
2019-09-24,-13.3134
2019-09-25,-3.1605
2019-09-26,1.5808
2019-09-27,-7.3795
2019-09-30,-1.9512
2019-10-01,-1.8795
2019-10-02,3.3239
2019-10-03,0.8179
2019-10-04,2.7582
2019-10-07,-1.8947
2019-10-08,-0.1073
2019-10-09,2.2019
2019-10-10,4.4666
2019-10-11,-1.0563
2019-10-14,1.2201
2019-10-15,-2.8127
2019-10-16,2.093
2019-10-17,0.5821
2019-10-18,-5.687
2019-10-21,0.9072
2019-10-22,-11.8456
2019-10-23,-5.5789
2019-10-24,7.4968
2019-10-25,7.0331
2019-10-28,-0.3865
2019-10-29,11.1419
2019-10-30,8.2793
2019-10-31,8.4293
2019-11-01,-3.271
2019-11-04,-2.2837
2019-11-05,-1.4382
2019-11-06,-0.4104
2019-11-07,-2.4725
2019-11-08,3.662
2019-11-11,-1.2227999999999999
2019-11-12,19.624
2019-11-13,0.3066
2019-11-14,8.6741
2019-11-15,1.1252
2019-11-18,0.1739
2019-11-19,-2.2215
2019-11-20,0.8875
2019-11-21,-5.5947
2019-11-22,-0.1491
2019-11-25,2.7996
2019-11-26,-1.1983
2019-11-27,-0.588
2019-11-29,-0.4436
2019-12-02,0.5199
2019-12-03,6.6125
2019-12-04,0.797
2019-12-05,1.1688
2019-12-06,3.0241
2019-12-09,-5.4749
2019-12-10,2.3726
2019-12-11,0.0341
2019-12-12,-8.2112
