ticker,MTCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-02,-6.3878
2020-07-06,-4.1852
2020-07-07,-2.9331
2020-07-08,2.3913
2020-07-09,2.2505
2020-07-10,4.2255
2020-07-13,-3.4565
2020-07-14,1.0421
2020-07-15,-1.5316999999999998
2020-07-16,-2.0429
2020-07-17,-2.8689
2020-07-20,5.9074
2020-07-21,-3.3344
2020-07-22,-0.5962
2020-07-23,-2.3776
2020-07-24,-0.8667
2020-07-27,1.5604
2020-07-28,7.2682
2020-07-29,4.4189
2020-07-30,-0.4281
2020-07-31,0.342
