ticker,VAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-09,-3.0017
2011-11-10,-2.0057
2011-11-11,2.1637
2011-11-14,0.4579
2011-11-15,-1.7094
2011-11-16,-0.6377
2011-11-17,-0.1167
2011-11-18,-0.0584
2011-11-21,1.4027
2011-11-22,4.2651
2011-11-23,-0.7739
2011-11-25,-1.6713
2011-11-28,-2.8329
2011-11-29,-5.2478
2011-11-30,-1.6615
2011-12-01,-0.5006
2011-12-02,2.0755
2011-12-05,6.223
2011-12-06,0.6961
2011-12-07,-0.8641
2011-12-08,0.1743
2011-12-09,5.2204
2011-12-12,-0.2205
2011-12-13,2.8177
2011-12-14,0.2149
2011-12-15,-1.3941
2011-12-16,0.8157
2011-12-19,0.2157
2011-12-20,0.1615
2011-12-21,-3.3853
2011-12-22,-3.1146
2011-12-23,-1.5499
2011-12-27,-0.2915
2011-12-28,0.2924
2011-12-29,-0.1166
2011-12-30,0.1751
2012-01-03,3.2051
2012-01-04,-1.6375
2012-01-05,2.698
2012-01-06,-1.621
2012-01-09,2.6136
2012-01-10,1.2735
2012-01-11,1.2028
2012-01-12,-0.9184
2012-01-13,-0.7088
2012-01-17,4.2284
2012-01-18,0.0527
2012-01-19,2.2643
2012-01-20,-2.0597
2012-01-23,-0.7361
2012-01-24,2.7542
2012-01-25,-1.5464
2012-01-26,4.4503
2012-01-27,0.401
2012-01-30,4.3934
2012-01-31,-0.7652
2012-02-01,6.2169
2012-02-02,2.7677
2012-02-03,-0.3974
2012-02-06,-0.7092
2012-02-07,-0.3125
2012-02-08,2.2391
2012-02-09,0.7884
2012-02-10,-0.0435
2012-02-13,-2.1739
2012-02-14,-0.5333
2012-02-15,0.8937
2012-02-16,1.3286
2012-02-17,-0.3934
2012-02-21,0.9653
2012-02-22,-0.7388
2012-02-23,1.9702
2012-02-24,2.5762
2012-02-27,1.3813
2012-02-28,2.1057
2012-02-29,0.8087
2012-03-01,2.2062
2012-03-02,1.2166
2012-03-05,0.6979
2012-03-06,-0.308
2012-03-07,1.1974
2012-03-08,2.9771
2012-03-09,-0.3706
2012-03-12,-0.2232
2012-03-13,-1.2304
2012-03-14,0.604
2012-03-15,3.0769
2012-03-16,-2.4754
2012-03-19,-0.3359
2012-03-20,-1.6105
2012-03-21,0.6091
2012-03-22,0.454
2012-03-23,3.8418
2012-03-26,4.5702
2012-03-27,-1.1446
2012-03-28,-0.7018
2012-03-29,0.0707
2012-03-30,0.6709
2012-04-02,-0.8418
2012-04-03,-1.0258
