ticker,OPCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,15.3846
2000-01-04,0.0
2000-01-05,1.1111
2000-01-06,-1.0989
2000-01-07,-2.2222
2000-01-10,4.5455
2000-01-11,4.3478
2000-01-12,6.25
2000-01-13,-5.8824
2000-01-14,1.0417
2000-01-18,9.2784
2000-01-19,54.717
2000-01-20,25.6098
2000-01-21,-13.5922
2000-01-24,0.0
2000-01-25,7.8652
2000-01-26,30.2083
2000-01-27,-8.0
2000-01-28,-12.1739
2000-01-31,-7.9208
2000-02-01,-1.0753
2000-02-02,4.3478
2000-02-03,0.0
2000-02-04,10.4167
2000-02-07,10.3774
2000-02-08,5.9829
2000-02-09,-8.871
2000-02-10,-0.885
2000-02-11,0.0
2000-02-14,-0.8929
2000-02-15,-1.8018
2000-02-16,0.9174
2000-02-17,-6.3636
2000-02-18,-3.8834999999999997
2000-02-22,-9.0909
2000-02-23,0.0
2000-02-24,5.5556
2000-02-25,-4.2105
2000-02-28,1.0989
2000-02-29,2.1739
2000-03-01,22.3404
2000-03-02,7.8261
2000-03-03,0.8065
2000-03-06,-3.2
2000-03-07,-5.7851
2000-03-08,-4.8246
2000-03-09,6.9124
2000-03-10,-12.069
2000-03-13,-5.8824
2000-03-14,-5.2083
2000-03-15,-8.7912
2000-03-16,4.8193
2000-03-17,-1.1494
2000-03-20,-8.1395
2000-03-21,-10.1266
2000-03-22,11.2676
2000-03-23,1.2658
2000-03-24,-3.75
2000-03-27,-11.6883
2000-03-28,19.1176
2000-03-29,-11.1111
2000-03-30,-8.3333
2000-03-31,4.5455
2000-04-03,-11.5942
2000-04-04,-18.0328
2000-04-05,4.0
2000-04-06,15.3846
2000-04-07,12.0833
2000-04-10,-13.7546
2000-04-11,-12.069
2000-04-12,-3.9215999999999998
2000-04-13,-22.449
2000-04-14,0.0
2000-04-17,-15.7895
2000-04-18,37.5
2000-04-19,1.1364
2000-04-20,3.3708
2000-04-24,-4.3478
2000-04-25,-2.2727
2000-04-26,-3.4884
2000-04-27,1.2048
2000-04-28,11.9048
2000-05-01,2.1277
2000-05-02,-14.5833
2000-05-03,-12.1951
2000-05-04,5.5556
2000-05-05,-2.6316
2000-05-08,-5.4054
2000-05-09,5.7143
2000-05-10,2.7027
2000-05-11,-10.526299999999999
2000-05-12,17.647100000000002
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,-5.0
2000-05-18,-5.2632
2000-05-19,-5.5556
2000-05-22,-5.8824
2000-05-23,-6.25
