ticker,ALRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-26,20.5714
2015-06-29,-6.5758
2015-06-30,-2.4731
2015-07-01,2.2107
2015-07-02,8.3969
2015-07-06,6.2793
2015-07-07,-2.6505
2015-07-08,-1.3613
2015-07-09,-5.4054
2015-07-10,-1.8237
2015-07-13,0.3715
2015-07-14,8.5133
2015-07-15,-2.8425000000000002
2015-07-16,0.5266
2015-07-17,3.2014
2015-07-20,5.9222
2015-07-21,-4.1534
2015-07-22,-0.0556
2015-07-23,-1.3897
2015-07-24,-0.6201
2015-07-27,-2.7226
2015-07-28,-0.4082
2015-07-29,5.5328
2015-07-30,1.4147
2015-07-31,1.3676
2015-08-03,-1.3492
2015-08-04,-0.2735
2015-08-05,3.4558
2015-08-06,-7.3701
2015-08-07,-2.5186
2015-08-10,2.9947
2015-08-11,-1.6534
2015-08-12,-2.4928
2015-08-13,-2.2592
2015-08-14,2.8589
2015-08-17,-0.414
2015-08-18,2.019
2015-08-19,1.5133999999999999
2015-08-20,-3.8991
2015-08-21,-1.79
2015-08-24,-2.7339
2015-08-25,-0.4997
2015-08-26,2.2599
2015-08-27,3.7446
2015-08-28,-0.5917
2015-08-31,1.3094999999999999
2015-09-01,-7.4618
2015-09-02,1.0794
2015-09-03,2.1357
2015-09-04,-1.23
2015-09-08,0.9963
2015-09-09,-3.2059
2015-09-10,-0.2548
2015-09-11,-6.0664
2015-09-14,-4.6907
2015-09-15,0.0713
2015-09-16,3.4925
2015-09-17,0.9642
2015-09-18,-6.6166
2015-09-21,-2.4836
2015-09-22,-0.824
2015-09-23,-1.9637
2015-09-24,-1.849
2015-09-25,-2.0408
2015-09-28,-7.7724
2015-09-29,-0.5213
2015-09-30,1.8340999999999998
2015-10-01,0.9434
2015-10-02,2.294
2015-10-05,-0.0831
2015-10-06,1.2469000000000001
2015-10-07,3.3662
2015-10-08,-0.3177
2015-10-09,0.0797
2015-10-12,1.1146
2015-10-13,-1.4173
2015-10-14,0.3994
2015-10-15,1.9889000000000001
2015-10-16,-2.8861
2015-10-19,-0.0803
2015-10-20,0.8842
2015-10-21,-0.1594
2015-10-22,1.9154
2015-10-23,-0.7831
2015-10-26,-0.8682
2015-10-27,-2.707
2015-10-28,2.9459999999999997
2015-10-29,0.5564
2015-10-30,0.0
2015-11-02,1.1858
2015-11-03,3.4375
2015-11-04,1.284
2015-11-05,0.3729
2015-11-06,4.3091
2015-11-09,-0.2849
2015-11-10,4.0714
2015-11-11,13.7268
