ticker,PLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6114
2000-01-04,-3.3392
2000-01-05,0.0909
2000-01-06,1.1807
2000-01-07,-0.5386
2000-01-10,3.7906
2000-01-11,-0.3478
2000-01-12,-0.349
2000-01-13,3.9405
2000-01-14,0.4212
2000-01-18,0.0
2000-01-19,1.4262000000000001
2000-01-20,-0.0827
2000-01-21,-0.4967
2000-01-24,2.2463
2000-01-25,-1.7086999999999999
2000-01-26,0.9106
2000-01-27,-0.7383
2000-01-28,-3.8843
2000-01-31,-1.4617
2000-02-01,1.5707
2000-02-02,0.4296
2000-02-03,0.4277
2000-02-04,1.3629
2000-02-07,0.6723
2000-02-08,2.0033
2000-02-09,-0.3273
2000-02-10,-2.5452
2000-02-11,-0.8425
2000-02-14,-1.5293
2000-02-15,-2.8473
2000-02-16,-3.9076
2000-02-17,2.0333
2000-02-18,2.2645
2000-02-22,1.5058
2000-02-23,3.8394
2000-02-24,-1.3445
2000-02-25,-1.7036
2000-02-28,6.4125
2000-02-29,3.5016
2000-03-01,1.1802
2000-03-02,-0.6998
2000-03-03,1.1746
2000-03-06,-1.0062
2000-03-07,-1.9546999999999999
2000-03-08,-0.2392
2000-03-09,4.5564
2000-03-10,1.0703
2000-03-13,1.8154
2000-03-14,5.2006
2000-03-15,-2.2599
2000-03-16,2.8902
2000-03-17,-0.2809
2000-03-20,-1.7606000000000002
2000-03-21,0.9319
2000-03-22,1.2784
2000-03-23,1.8934
2000-03-24,-0.6194
2000-03-27,2.6316
2000-03-28,-1.2821
2000-03-29,-0.9569
2000-03-30,1.1732
2000-03-31,1.7053
2000-04-03,-4.2254
2000-04-04,-3.2213
2000-04-05,2.3155
2000-04-06,2.9703
2000-04-07,2.7473
2000-04-10,-1.2032
2000-04-11,-2.4356999999999998
2000-04-12,-1.387
2000-04-13,0.211
2000-04-14,-6.0351
2000-04-17,-0.8215
2000-04-18,2.1084
2000-04-19,2.9499
2000-04-20,-2.149
2000-04-24,-3.1479
2000-04-25,2.7967
2000-04-26,0.3676
2000-04-27,3.2967
2000-04-28,0.4255
2000-05-01,2.613
2000-05-02,-1.6518000000000002
2000-05-03,-2.3793
2000-05-04,1.6487
2000-05-05,1.6219999999999999
2000-05-08,-2.1513
2000-05-09,-1.7730000000000001
2000-05-10,-3.3213
2000-05-11,4.705
2000-05-12,0.9986
2000-05-15,1.6949
2000-05-16,1.1111
2000-05-17,3.7088
2000-05-18,-0.3974
2000-05-19,-3.9229000000000003
