ticker,HONE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-30,29.2
2016-07-01,-0.8514
2016-07-05,0.5464
2016-07-06,-0.1553
2016-07-07,-1.3219
2016-07-08,-0.0788
2016-07-11,0.1577
2016-07-12,0.1575
2016-07-13,0.9434
2016-07-14,0.7009
2016-07-15,1.8561
2016-07-18,-0.5315
2016-07-19,-0.5344
2016-07-20,0.0767
2016-07-21,0.1534
2016-07-22,-0.1531
2016-07-25,0.6902
2016-07-26,0.3808
2016-07-27,1.3657
2016-07-28,0.4491
2016-07-29,-0.149
2016-08-01,0.0746
2016-08-02,-0.4474
2016-08-03,1.3483
2016-08-04,2.2912
2016-08-05,1.6618
2016-08-08,0.995
2016-08-09,0.4926
2016-08-10,-0.7703
2016-08-11,-0.2117
2016-08-12,-0.2829
2016-08-15,-0.3546
2016-08-16,-0.6406
2016-08-17,0.2149
2016-08-18,0.0715
2016-08-19,-0.0714
2016-08-22,1.3580999999999999
2016-08-23,-0.6347
2016-08-24,0.1419
2016-08-25,0.2835
2016-08-26,1.0601
2016-08-29,1.3986
2016-08-30,1.7241
2016-08-31,-0.1356
2016-09-01,1.0183
2016-09-02,0.672
2016-09-06,2.0027
2016-09-07,1.1126
2016-09-08,-2.0065
2016-09-09,0.0661
2016-09-12,0.9241
2016-09-13,0.9156
2016-09-14,-0.2592
2016-09-15,-0.9097
2016-09-16,-3.4754
2016-09-19,5.5027
2016-09-20,0.6439
2016-09-21,1.0237
2016-09-22,0.76
2016-09-23,-0.3143
2016-09-26,-0.8827
2016-09-27,-0.2545
2016-09-28,0.6378
2016-09-29,-1.2041
2016-09-30,1.0904
2016-10-03,0.5711
2016-10-04,0.2524
2016-10-05,-0.2517
2016-10-06,0.8202
2016-10-07,-1.2516
2016-10-10,-0.507
2016-10-11,-0.7006
2016-10-12,-0.5773
2016-10-13,-0.7742
2016-10-14,0.5202
2016-10-17,2.0699
2016-10-18,-0.6337
2016-10-19,1.3393
2016-10-20,-0.3776
2016-10-21,2.3373
2016-10-24,1.1111
2016-10-25,0.1221
2016-10-26,-0.061
2016-10-27,2.3795
2016-10-28,0.4172
2016-10-31,1.3056
2016-11-01,-0.5272
2016-11-02,-0.6478
2016-11-03,-0.4149
2016-11-04,0.6548
2016-11-07,0.4731
2016-11-08,0.8829
2016-11-09,2.042
2016-11-10,0.9148
2016-11-11,2.2663
2016-11-14,1.2742
2016-11-15,0.93
2016-11-16,-0.542
2016-11-17,2.1798
2016-11-18,0.0
