ticker,SXT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3742
2000-01-04,-3.1746
2000-01-05,4.5902
2000-01-06,-2.5078
2000-01-07,-0.3215
2000-01-10,-1.6129
2000-01-11,-0.3279
2000-01-12,-0.6579
2000-01-13,2.3179
2000-01-14,-4.2071
2000-01-18,0.0
2000-01-19,-1.0135
2000-01-20,2.3891
2000-01-21,-4.3333
2000-01-24,-2.0906
2000-01-25,3.2028
2000-01-26,-3.4483
2000-01-27,-0.3571
2000-01-28,-0.7168
2000-01-31,6.1372
2000-02-01,-1.7006999999999999
2000-02-02,-1.0381
2000-02-03,3.1469
2000-02-04,1.0576
2000-02-07,-2.027
2000-02-08,-0.3448
2000-02-09,-0.346
2000-02-10,5.9028
2000-02-11,-2.623
2000-02-14,1.3468
2000-02-15,2.99
2000-02-16,-1.6129
2000-02-17,2.623
2000-02-18,-1.278
2000-02-22,0.3236
2000-02-23,-3.5484
2000-02-24,-1.0033
2000-02-25,1.6892
2000-02-28,-3.6545
2000-02-29,-0.3448
2000-03-01,5.1903
2000-03-02,-2.9605
2000-03-03,-3.0508
2000-03-06,0.3497
2000-03-07,0.6969
2000-03-08,-0.346
2000-03-09,-1.3889
2000-03-10,-3.5211
2000-03-13,0.7299
2000-03-14,0.0
2000-03-15,4.7101
2000-03-16,6.2284
2000-03-17,-3.2573
2000-03-20,0.0
2000-03-21,2.0202
2000-03-22,0.33
2000-03-23,0.3289
2000-03-24,-2.9508
2000-03-27,2.027
2000-03-28,0.6623
2000-03-29,0.6579
2000-03-30,4.5752
2000-03-31,6.875
2000-04-03,-4.386
2000-04-04,-0.6116
2000-04-05,0.0
2000-04-06,-4.3077
2000-04-07,-2.2508
2000-04-10,-0.3289
2000-04-11,0.9901
2000-04-12,0.3268
2000-04-13,2.2801
2000-04-14,-4.1401
2000-04-17,1.9933999999999998
2000-04-18,1.9544000000000001
2000-04-19,-3.8339
2000-04-20,-5.9801
2000-04-24,-2.4735
2000-04-25,1.087
2000-04-26,-1.0753
2000-04-27,-2.1739
2000-04-28,-2.5926
2000-05-01,-0.3802
2000-05-02,0.3817
2000-05-03,1.1407
2000-05-04,1.9247999999999998
2000-05-05,-3.7175000000000002
2000-05-08,1.9304999999999999
2000-05-09,-2.2727
2000-05-10,-0.3876
2000-05-11,1.1673
2000-05-12,0.3846
2000-05-15,0.3831
2000-05-16,1.145
2000-05-17,-1.8868
2000-05-18,0.7692
2000-05-19,-0.3817
2000-05-22,0.7663
