ticker,LOPE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-20,-1.25
2008-11-21,4.2194
2008-11-24,6.4777000000000005
2008-11-25,6.0837
2008-11-26,14.6953
2008-11-28,-7.25
2008-12-01,-1.0108
2008-12-02,6.2628
2008-12-03,1.2172
2008-12-04,1.2025000000000001
2008-12-05,-0.2502
2008-12-08,-1.6928
2008-12-09,-3.9541
2008-12-10,4.3161
2008-12-11,-6.62
2008-12-12,-0.6135
2008-12-15,-4.6639
2008-12-16,6.1871
2008-12-17,10.0949
2008-12-18,6.7692
2008-12-19,-3.5159000000000002
2008-12-22,4.8387
2008-12-23,-1.0826
2008-12-24,-0.4032
2008-12-26,-0.694
2008-12-29,4.834
2008-12-30,2.0556
2008-12-31,2.2319
2009-01-02,1.065
2009-01-05,-1.9494
2009-01-06,-3.2241
2009-01-07,-5.608
2009-01-08,0.0
2009-01-09,5.4118
2009-01-12,4.7991
2009-01-13,-1.4909
2009-01-14,0.2703
2009-01-15,7.9784
2009-01-16,0.7988
2009-01-20,-6.2407
2009-01-21,5.6524
2009-01-22,-0.2
2009-01-23,-0.3006
2009-01-26,-4.9246
2009-01-27,-0.8985
2009-01-28,-4.0533
2009-01-29,-1.0561
2009-01-30,-2.6404
2009-02-02,3.9815
2009-02-03,3.0522
2009-02-04,0.9155
2009-02-05,2.7748
2009-02-06,-1.0384
2009-02-09,4.5121
2009-02-10,-9.1867
2009-02-11,2.2112
2009-02-12,-3.0287
2009-02-13,1.1712
2009-02-17,-1.8742999999999999
2009-02-18,-0.2809
2009-02-19,-3.493
2009-02-20,9.8074
2009-02-23,1.967
2009-02-24,-1.9291
2009-02-25,-8.3466
2009-02-26,-2.9002
2009-02-27,1.6726
2009-03-02,-4.6416
2009-03-03,-5.7301
2009-03-04,-6.8627
2009-03-05,-7.6491
2009-03-06,-1.2918
2009-03-09,3.5412
2009-03-10,6.9145
2009-03-11,11.2656
2009-03-12,1.875
2009-03-13,-2.1471999999999998
2009-03-16,-7.1472999999999995
2009-03-17,3.7137000000000002
2009-03-18,0.3255
2009-03-19,-0.9085
2009-03-20,0.131
2009-03-23,4.3165
2009-03-24,1.7555
2009-03-25,-0.1848
2009-03-26,6.7901
2009-03-27,-0.6936
2009-03-30,0.7567
2009-03-31,-0.2889
2009-04-01,-3.5342000000000002
2009-04-02,0.1802
2009-04-03,-1.7986
2009-04-06,-0.4274
2009-04-07,-4.9663
2009-04-08,-2.4516
2009-04-09,-1.8519
2009-04-13,0.6065
