ticker,JAZZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-01,-1.5
2007-06-04,-1.0152
2007-06-05,0.2279
2007-06-06,-0.6822
2007-06-07,-1.4883
2007-06-08,0.2324
2007-06-11,-0.058
2007-06-12,-1.3921000000000001
2007-06-13,0.0
2007-06-14,0.0
2007-06-15,3.4118
2007-06-18,-3.4699
2007-06-19,0.1179
2007-06-20,0.0589
2007-06-21,-0.2941
2007-06-22,-1.8289
2007-06-25,-3.726
2007-06-26,-1.9351
2007-06-27,0.3819
2007-06-28,0.3171
2007-06-29,1.1378
2007-07-02,3.125
2007-07-03,-2.4848
2007-07-05,0.5594
2007-07-06,-1.6686999999999999
2007-07-09,0.44
2007-07-10,0.1252
2007-07-11,-1.4375
2007-07-12,-2.7267
2007-07-13,-3.9765
2007-07-16,0.2037
2007-07-17,-1.6938
2007-07-18,-2.1365
2007-07-19,0.4225
2007-07-20,0.2805
2007-07-23,1.3986
2007-07-24,0.0
2007-07-25,-0.2759
2007-07-26,-1.5213999999999999
2007-07-27,-2.7388
2007-07-30,7.9422
2007-07-31,-5.0836
2007-08-01,-3.8055
2007-08-02,-1.1722
2007-08-03,0.6672
2007-08-06,-0.5155
2007-08-07,-1.8505
2007-08-08,-0.6787
2007-08-09,-8.1245
2007-08-10,6.8595
2007-08-13,2.4749
2007-08-14,-1.2075
2007-08-15,-2.5974
2007-08-16,0.6275
2007-08-17,2.7279999999999998
2007-08-20,-1.3657
2007-08-21,-3.4615
2007-08-22,6.5339
2007-08-23,-0.8975
2007-08-24,0.3019
2007-08-27,0.8277
2007-08-28,-4.7015
2007-08-29,2.5842
2007-08-30,-0.229
2007-08-31,2.8308999999999997
2007-09-04,3.0506
2007-09-05,-5.0542
2007-09-06,-0.9125
2007-09-07,3.5303
2007-09-10,-3.7064
2007-09-11,0.2309
2007-09-12,0.9217
2007-09-13,-1.0654
2007-09-14,0.9231
2007-09-17,-1.5244
2007-09-18,-0.4644
2007-09-19,1.0109
2007-09-20,0.0
2007-09-21,0.9238
2007-09-24,-3.1274
2007-09-25,1.5748
2007-09-26,-1.0853
2007-09-27,-6.348
2007-09-28,-6.2762
2007-10-01,16.6964
2007-10-02,3.137
2007-10-03,-1.6320000000000001
2007-10-04,1.81
2007-10-05,0.0
2007-10-08,-0.4444
2007-10-09,-0.0744
2007-10-10,0.0
2007-10-11,0.2234
2007-10-12,-0.2972
2007-10-15,-2.9806
2007-10-16,0.4608
2007-10-17,0.3823
2007-10-18,-0.6093
