ticker,SRGA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-10,0.4464
2000-08-11,-4.8889
2000-08-14,-20.5607
2000-08-15,4.7059
2000-08-16,-7.8652
2000-08-17,-12.1951
2000-08-18,5.5556
2000-08-21,-2.6316
2000-08-22,0.0
2000-08-23,36.4865
2000-08-24,-0.9901
2000-08-25,3.5
2000-08-28,0.0
2000-08-29,-3.8647
2000-08-30,6.5327
2000-08-31,8.9623
2000-09-01,1.2987
2000-09-05,-9.4017
2000-09-06,-1.8868
2000-09-07,1.4423
2000-09-08,-6.6350999999999996
2000-09-11,-6.599
2000-09-12,-4.8913
2000-09-13,-0.5714
2000-09-14,14.9425
2000-09-15,-0.5
2000-09-18,-2.5126
2000-09-19,0.0
2000-09-20,-1.0309
2000-09-21,2.6042
2000-09-22,-1.0152
2000-09-25,-1.0256
2000-09-26,-9.3264
2000-09-27,-8.0
2000-09-28,-5.5901
2000-09-29,-13.1579
2000-10-02,9.0909
2000-10-03,1.3889
2000-10-04,-4.7945
2000-10-05,7.9137
2000-10-06,7.3333
2000-10-09,0.6211
2000-10-10,-2.4691
2000-10-11,-5.0633
2000-10-12,4.0
2000-10-13,7.6923
2000-10-16,2.3810000000000002
2000-10-17,0.0
2000-10-18,-4.6512
2000-10-19,8.5366
2000-10-20,5.618
2000-10-23,-9.0426
2000-10-24,-5.848
2000-10-25,-0.6211
2000-10-26,-5.0
2000-10-27,3.9474
2000-10-30,18.9873
2000-10-31,7.9787
2000-11-01,-3.4483
2000-11-02,1.2755
2000-11-03,-3.7782999999999998
2000-11-06,-0.5236
2000-11-07,3.1579
2000-11-08,2.0408
2000-11-09,1.5
2000-11-10,0.4926
2000-11-13,-5.3922
2000-11-14,7.772
2000-11-15,0.4808
2000-11-16,5.2632
2000-11-17,-2.7273
2000-11-20,-1.4019
2000-11-21,-3.7915
2000-11-22,-0.9852
2000-11-24,1.4925
2000-11-27,-0.9804
2000-11-28,-6.4356
2000-11-29,1.5873
2000-11-30,-1.0417
2000-12-01,4.2105
2000-12-04,1.0101
2000-12-05,2.0
2000-12-06,3.9215999999999998
2000-12-07,1.8868
2000-12-08,3.7037
2000-12-11,7.1429
2000-12-12,-5.8333
2000-12-13,0.0
2000-12-14,1.3274
2000-12-15,-0.4367
2000-12-18,-0.8772
2000-12-19,0.4425
2000-12-20,-11.8943
2000-12-21,-1.0
2000-12-22,0.0
2000-12-26,3.0303
2000-12-27,0.4902
2000-12-28,11.2195
2000-12-29,0.0
