ticker,DPWW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-14,2.6923
2015-04-15,0.0
2015-04-16,0.7491
2015-04-17,2.2305
2015-04-20,1.4545
2015-04-22,0.0
2015-04-23,0.3584
2015-04-24,3.5714
2015-04-27,1.7241
2015-04-28,-2.0339
2015-04-29,-1.3841
2015-05-01,0.0
2015-05-04,-0.7018
2015-05-05,-0.7067
2015-05-06,1.0676
2015-05-07,0.0
2015-05-08,0.0
2015-05-12,-0.3521
2015-05-14,0.0
2015-05-15,0.3534
2015-05-18,1.7606000000000002
2015-05-20,-0.692
2015-05-21,-2.0906
2015-05-22,8.5409
2015-05-26,0.0
2015-06-01,0.0
2015-06-04,-1.3115
2015-06-05,-1.9933999999999998
2015-06-12,-8.4746
2015-06-17,11.4815
2015-06-19,1.3289
2015-06-23,0.0
2015-06-26,-1.6393
2015-07-01,-33.0
2015-07-21,11.9403
2015-07-22,0.0
2015-07-23,0.0
2015-07-27,-11.1111
2015-08-03,0.0
2015-08-07,0.0
2015-08-18,0.0
2015-08-19,-0.5
2015-08-26,0.5025
2015-10-16,-5.0
2015-10-22,-27.8947
2015-10-26,0.0
2015-10-27,-5.8394
2015-10-30,-6.9767
2015-11-02,4.1667
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,2.4
2015-11-06,-2.3437
2015-11-10,0.0
2015-11-12,-0.8
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.8065
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,-0.8
2015-11-30,-23.3871
2015-12-01,-15.7895
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,6.25
2015-12-07,3.5294
2015-12-11,1.1364
2015-12-14,0.0
2015-12-16,6.7416
2015-12-21,0.0
2015-12-24,0.0
2015-12-28,-15.7895
2015-12-29,-18.75
2015-12-30,15.3846
2016-01-04,-13.3333
2016-01-07,-15.3846
2016-01-08,45.0909
2016-01-11,-31.0777
2016-01-13,5.4545
2016-01-20,6.8966
2016-01-21,-27.4194
2016-01-25,28.8889
2016-01-26,3.4483
2016-01-27,6.6667
2016-02-01,-37.5
2016-02-02,25.0
2016-02-03,-10.0
2016-02-05,11.1111
2016-02-10,10.0
2016-02-11,0.0
2016-02-22,-13.6705
2016-02-23,13.9397
2016-02-24,-5.7301
2016-02-25,0.0
2016-02-26,-0.1961
2016-03-02,-21.4145
2016-03-04,36.25
2016-03-07,-4.5872
2016-03-08,4.8077
2016-03-14,0.9174
2016-03-15,-1.6705
2016-03-16,-9.3956
