ticker,CMRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-04,-1.25
2010-11-05,-0.8439
2010-11-08,-2.9787
2010-11-09,-3.5088
2010-11-10,-1.8182
2010-11-11,-0.463
2010-11-12,2.3256
2010-11-15,0.9091
2010-11-16,-1.3514
2010-11-17,-1.3699
2010-11-18,3.7963
2010-11-19,-0.1784
2010-11-22,-2.1448
2010-11-23,1.1872
2010-11-24,1.1733
2010-11-26,0.1784
2010-11-29,1.2467
2010-11-30,-0.4398
2010-12-01,2.9152
2010-12-02,2.8326000000000002
2010-12-03,-0.1669
2010-12-06,-1.5886
2010-12-07,-0.1699
2010-12-08,1.3617
2010-12-09,1.0915
2010-12-10,2.4917
2010-12-13,-0.5673
2010-12-14,3.912
2010-12-15,0.1569
2010-12-16,0.6265
2010-12-17,-0.5447
2010-12-20,2.1909
2010-12-21,2.3737
2010-12-22,1.1219
2010-12-23,-1.4053
2010-12-27,2.4756
2010-12-28,1.3909
2010-12-29,1.0108
2010-12-30,2.0014
2010-12-31,1.3315000000000001
2011-01-03,-0.4841
2011-01-04,-0.417
2011-01-05,1.1863
2011-01-06,0.2759
2011-01-07,1.3067
2011-01-10,-1.1541
2011-01-11,2.0261
2011-01-12,1.3127
2011-01-13,0.7309
2011-01-14,-1.1873
2011-01-18,0.1335
2011-01-19,0.2
2011-01-20,-0.2661
2011-01-21,-0.1334
2011-01-24,0.0
2011-01-25,0.334
2011-01-26,1.5312999999999999
2011-01-27,0.6667
2011-01-28,0.7947
2011-01-31,0.5256
2011-02-01,1.5686
2011-02-02,0.8366
2011-02-03,0.1276
2011-02-04,-0.1912
2011-02-07,-0.2554
2011-02-08,-0.3201
2011-02-09,0.7707
2011-02-10,0.1275
2011-02-11,1.7823
2011-02-14,1.6886
2011-02-15,-0.0615
2011-02-16,0.1846
2011-02-17,2.9484
2011-02-18,1.426
2011-02-22,-2.3472
2011-02-23,0.0
2011-02-24,0.0602
2011-02-25,0.7827
2011-02-28,0.2389
2011-03-01,-0.5364
2011-03-02,0.0599
2011-03-03,1.4969999999999999
2011-03-04,0.0
2011-03-07,-1.0029
2011-03-08,-0.3576
2011-03-09,1.256
2011-03-10,-3.4259
2011-03-11,0.6116
2011-03-14,-0.8511
2011-03-15,-1.5328
2011-03-16,-1.2453
2011-03-17,0.5675
2011-03-18,1.0658
2011-03-21,-0.2481
2011-03-22,0.2488
2011-03-23,1.0546
2011-03-24,0.9208
2011-03-25,2.5547
2011-03-28,-0.2372
