ticker,TITN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-06,11.5294
2007-12-07,2.8481
2007-12-10,7.4872
2007-12-11,-6.3931000000000004
2007-12-12,0.9174
2007-12-13,1.8182
2007-12-14,-0.7937
2007-12-17,2.5
2007-12-18,0.0
2007-12-19,0.0
2007-12-20,6.8293
2007-12-21,3.653
2007-12-24,23.348
2007-12-26,-6.5714
2007-12-27,-4.8165
2007-12-28,1.9277
2007-12-31,3.2309
2008-01-02,3.8167999999999997
2008-01-03,5.1471
2008-01-04,-2.0979
2008-01-07,-8.9286
2008-01-08,-1.9607999999999999
2008-01-09,-3.36
2008-01-10,6.1258
2008-01-11,32.6053
2008-01-14,2.3529
2008-01-15,-2.3563
2008-01-16,-8.7699
2008-01-17,-6.775
2008-01-18,3.4611
2008-01-22,6.2876
2008-01-23,-4.2165
2008-01-24,-2.1025
2008-01-25,4.0268
2008-01-28,-1.2258
2008-01-29,0.2613
2008-01-30,2.8005
2008-01-31,4.4368
2008-02-01,-0.4854
2008-02-04,-1.2195
2008-02-05,-1.2346
2008-02-06,-0.0625
2008-02-07,-2.1263
2008-02-08,6.4536999999999995
2008-02-11,-2.401
2008-02-12,1.968
2008-02-13,6.5742
2008-02-14,1.811
2008-02-15,8.3936
2008-02-19,-0.6154
2008-02-20,-7.1207
2008-02-21,6.6667
2008-02-22,2.6042
2008-02-25,-2.0812
2008-02-26,-2.281
2008-02-27,-9.3899
2008-02-28,2.1663
2008-02-29,3.2092
2008-03-03,3.5536
2008-03-04,-1.3405
2008-03-05,5.3261
2008-03-06,-2.0124
2008-03-07,-7.2143
2008-03-10,-9.4779
2008-03-11,11.9436
2008-03-12,-4.2285
2008-03-13,3.0994
2008-03-14,-0.3971
2008-03-17,1.0251
2008-03-18,6.8207
2008-03-19,-2.2691
2008-03-20,-2.1058
2008-03-24,0.9377
2008-03-25,11.530100000000001
2008-03-26,-3.6257
2008-03-27,-6.7107
2008-03-28,2.9428
2008-03-31,-1.0058
2008-04-01,-5.0802
2008-04-02,1.8028
2008-04-03,1.3835
2008-04-04,1.7467000000000001
2008-04-07,6.3841
2008-04-08,8.119
2008-04-09,-0.8862
2008-04-10,4.0471
2008-04-11,1.2664
2008-04-14,-4.7789
2008-04-15,-0.4221
2008-04-16,0.6594
2008-04-17,0.1404
2008-04-18,12.0093
2008-04-21,1.7939
2008-04-22,-8.4426
2008-04-23,2.0143
2008-04-24,-9.6972
2008-04-25,-2.138
2008-04-28,9.2354
