ticker,NPK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5845
2000-01-04,-1.4311
2000-01-05,0.726
2000-01-06,0.5405
2000-01-07,0.3584
2000-01-10,1.0714
2000-01-11,0.3534
2000-01-12,-1.5845
2000-01-13,0.0
2000-01-14,1.2522
2000-01-18,-1.0601
2000-01-19,-0.3571
2000-01-20,-0.7168
2000-01-21,0.9025
2000-01-24,0.5367
2000-01-25,-0.8897
2000-01-26,-0.1795
2000-01-27,-0.3597
2000-01-28,0.9025
2000-01-31,0.1789
2000-02-01,-0.3571
2000-02-02,0.0
2000-02-03,-0.1792
2000-02-04,-0.8977
2000-02-07,0.1812
2000-02-08,-0.1808
2000-02-09,0.3623
2000-02-10,-0.5415
2000-02-11,-1.9964
2000-02-14,-0.1852
2000-02-15,0.9276
2000-02-16,-0.9191
2000-02-17,0.1855
2000-02-18,-1.4815
2000-02-22,0.7519
2000-02-23,-0.1866
2000-02-24,0.0
2000-02-25,1.4205999999999999
2000-02-28,0.1965
2000-02-29,-0.7843
2000-03-01,0.1976
2000-03-02,0.9862
2000-03-03,-0.1953
2000-03-06,-0.5871
2000-03-07,-0.5906
2000-03-08,0.5941
2000-03-09,-0.7874
2000-03-10,-0.3968
2000-03-13,-0.3984
2000-03-14,1.2
2000-03-15,-0.3953
2000-03-16,0.0
2000-03-17,0.5952
2000-03-20,-0.789
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,-0.5964
2000-03-27,0.8
2000-03-28,0.0
2000-03-29,-0.1984
2000-03-30,-0.3976
2000-03-31,4.1916
2000-04-03,-0.3831
2000-04-04,-0.9615
2000-04-05,1.3592
2000-04-06,1.1494
2000-04-07,0.0
2000-04-10,-0.7576
2000-04-11,-0.5725
2000-04-12,-0.5758
2000-04-13,-1.1583
2000-04-14,-0.1953
2000-04-17,1.7612999999999999
2000-04-18,0.5769
2000-04-19,-0.7648
2000-04-20,-0.578
2000-04-24,-1.1628
2000-04-25,3.5294
2000-04-26,-0.7576
2000-04-27,1.5267
2000-04-28,3.7594
2000-05-01,-0.1812
2000-05-02,-0.1815
2000-05-03,-2.5455
2000-05-04,1.1194
2000-05-05,-0.738
2000-05-08,-0.9294
2000-05-09,2.0638
2000-05-10,-2.0221
2000-05-11,0.3752
2000-05-12,0.9346
2000-05-15,0.3704
2000-05-16,2.7675
2000-05-17,-13.1059
2000-05-18,-2.0661
2000-05-19,1.0549
2000-05-22,1.0438
2000-05-23,1.2397
