ticker,BERY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-04,-5.0
2012-10-05,-1.3158
2012-10-08,-1.6667
2012-10-09,-1.3559
2012-10-10,-2.6804
2012-10-11,-1.1299
2012-10-12,1.4285999999999999
2012-10-15,1.1972
2012-10-16,-0.0696
2012-10-17,0.766
2012-10-18,1.4513
2012-10-19,-1.4304999999999999
2012-10-22,0.0
2012-10-23,-0.6911
2012-10-24,-0.6959
2012-10-25,0.0701
2012-10-26,-0.5602
2012-10-31,-0.2113
2012-11-01,1.2703
2012-11-02,-1.1847
2012-11-05,-1.4104
2012-11-06,0.8584
2012-11-07,-3.3333
2012-11-08,-1.1005
2012-11-09,1.2610999999999999
2012-11-12,1.685
2012-11-13,1.9452
2012-11-14,0.7067
2012-11-15,-1.6842000000000001
2012-11-16,0.3569
2012-11-19,0.7112
2012-11-20,0.9887
2012-11-21,3.0769
2012-11-23,-0.2714
2012-11-26,1.1565
2012-11-27,-0.807
2012-11-28,-0.0678
2012-11-29,1.7639
2012-11-30,-0.6
2012-12-03,-1.0731
2012-12-04,0.0
2012-12-05,0.339
2012-12-06,0.0
2012-12-07,0.0
2012-12-10,0.0676
2012-12-11,1.2829
2012-12-12,-0.0667
2012-12-13,2.6017
2012-12-14,0.8453
2012-12-17,-1.0316
2012-12-18,0.9772
2012-12-19,0.4516
2012-12-20,1.0918
2012-12-21,1.7154
2012-12-24,-1.3740999999999999
2012-12-26,-0.4433
2012-12-27,0.7634
2012-12-28,0.8838
2012-12-31,0.6258
2013-01-02,0.5597
2013-01-03,-0.1237
2013-01-04,2.1053
2013-01-07,-2.0619
2013-01-08,0.805
2013-01-09,0.3686
2013-01-10,2.0196
2013-01-11,-0.7798
2013-01-14,1.0883
2013-01-15,2.3325
2013-01-16,-1.3442
2013-01-17,2.8436
2013-01-18,0.4608
2013-01-22,0.8601
2013-01-23,-0.6822
2013-01-24,0.6869
2013-01-25,0.6254
2013-01-28,0.113
2013-01-29,0.1693
2013-01-30,-0.2254
2013-01-31,-0.734
2013-02-01,2.6166
2013-02-04,-0.1109
2013-02-05,1.8313000000000001
2013-02-06,-0.5995
2013-02-07,0.1096
2013-02-08,0.6572
2013-02-11,-0.2176
2013-02-12,1.4177
2013-02-13,0.0538
2013-02-14,0.4299
2013-02-15,0.6421
2013-02-19,3.5088
2013-02-20,-0.1541
2013-02-21,-2.572
2013-02-22,-1.2144
2013-02-25,1.1224
2013-02-26,2.4840999999999998
2013-02-27,0.0
