ticker,CPRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-08,1.6667
2006-11-09,0.8197
2006-11-10,-0.1626
2006-11-13,-0.6515
2006-11-14,-1.1475
2006-11-15,-0.4975
2006-11-16,0.0
2006-11-17,-2.1667
2006-11-20,-1.0221
2006-11-21,3.2702
2006-11-22,0.0
2006-11-24,0.0
2006-11-27,-4.1667
2006-11-28,0.0
2006-11-29,0.0
2006-11-30,-4.3478
2006-12-01,4.5455
2006-12-04,-4.3478
2006-12-05,0.1818
2006-12-06,-0.1815
2006-12-07,-1.6364
2006-12-08,-2.0333
2006-12-11,-0.7547
2006-12-12,0.0
2006-12-13,3.0418
2006-12-14,1.845
2006-12-15,-0.1812
2006-12-18,-12.8857
2006-12-19,-3.3333
2006-12-20,-3.0172
2006-12-21,7.7778
2006-12-22,-7.6289
2006-12-26,-5.1339
2006-12-27,0.0
2006-12-28,5.1765
2006-12-29,8.0537
2007-01-03,-6.8323
2007-01-04,-5.5556
2007-01-05,-1.1764999999999999
2007-01-08,-4.0476
2007-01-09,2.9777
2007-01-10,-5.3012
2007-01-11,-0.2545
2007-01-12,1.5306
2007-01-16,0.0
2007-01-17,0.2513
2007-01-18,-0.5013
2007-01-19,0.2487
2007-01-22,-2.2582
2007-01-23,1.7995
2007-01-24,-4.0404
2007-01-25,5.2632
2007-01-26,-1.25
2007-01-29,7.3418
2007-01-30,23.3491
2007-01-31,21.9885
2007-02-01,7.0533
2007-02-02,-16.5447
2007-02-05,2.6316
2007-02-06,-5.1282
2007-02-07,-2.4392
2007-02-08,-3.0404
2007-02-09,-8.7619
2007-02-12,4.1754
2007-02-13,-4.2084
2007-02-14,-1.6736
2007-02-15,-1.9149
2007-02-16,-0.2169
2007-02-20,0.6522
2007-02-21,0.0
2007-02-22,0.432
2007-02-23,-1.7419
2007-02-26,5.2747
2007-02-27,-6.0291
2007-02-28,7.0796
2007-03-01,-3.719
2007-03-02,1.2876
2007-03-05,-2.5423999999999998
2007-03-06,3.2609
2007-03-07,2.1053
2007-03-08,0.0
2007-03-09,-1.8557000000000001
2007-03-12,2.7311
2007-03-13,-1.8405
2007-03-14,-2.9167
2007-03-15,1.9313
2007-03-16,-0.6316
2007-03-19,-2.7569
2007-03-20,-7.187
2007-03-21,4.2254
2007-03-22,3.3784
2007-03-23,-4.3573
2007-03-26,-7.0615
2007-03-27,0.4902
2007-03-28,-3.6585
2007-03-29,1.0127
2007-03-30,0.2506
2007-04-02,-9.25
2007-04-03,1.3774
