ticker,PROG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-19,-12.5333
2020-06-22,-8.7652
2020-06-23,-5.5973
2020-06-24,1.9468999999999999
2020-06-25,-8.8542
2020-06-26,-4.9524
2020-06-29,-2.3045999999999998
2020-06-30,-7.6923
2020-07-01,-11.3333
2020-07-02,10.2757
2020-07-06,-0.7955
2020-07-07,7.9038
2020-07-08,6.6879
2020-07-09,-7.9602
2020-07-10,3.027
2020-07-13,-8.2896
2020-07-14,6.2929
2020-07-15,9.7955
2020-07-16,5.7843
2020-07-17,-0.7414
2020-07-20,-3.9215999999999998
2020-07-21,-12.0505
2020-07-22,-0.1105
2020-07-23,-0.3319
2020-07-24,-0.7769
2020-07-27,-2.6846
2020-07-28,-2.069
2020-07-29,-2.6995
2020-07-30,5.7901
2020-07-31,3.8769
