ticker,AWSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.1429
2000-01-04,-6.6667
2000-01-05,-14.2857
2000-01-06,33.3333
2000-01-07,-6.25
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,4.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-23.0769
2000-01-19,8.3333
2000-01-20,7.6923
2000-01-24,0.0
2000-01-25,-21.4286
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-9.0909
2000-01-31,10.0
2000-02-01,2.2727
2000-02-03,8.4444
2000-02-04,-9.8361
2000-02-07,9.0909
2000-02-08,0.0
2000-02-09,-8.3333
2000-02-10,9.0909
2000-02-11,0.0
2000-02-14,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,3.3333
2000-02-23,-20.9677
2000-02-24,22.449
2000-02-25,-15.0
2000-02-28,15.6863
2000-02-29,5.0847
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,37.0968
2000-03-06,5.8824
2000-03-07,11.1111
2000-03-08,5.0
2000-03-09,23.8095
2000-03-10,15.3846
2000-03-13,35.3333
2000-03-14,-1.4778
2000-03-15,-5.0
2000-03-16,-28.947400000000002
2000-03-17,18.5185
2000-03-20,-5.0
2000-03-21,-7.8947
2000-03-22,-3.5714
2000-03-23,-18.5185
2000-03-24,-13.6364
2000-03-27,26.3158
2000-03-28,-12.5
2000-03-29,0.0
2000-03-30,4.7619
2000-03-31,-9.0909
2000-04-03,5.0
2000-04-04,-1.7856999999999998
2000-04-05,0.0
2000-04-06,3.0303
2000-04-07,-1.1764999999999999
2000-04-10,0.0
2000-04-11,-10.7143
2000-04-12,-14.6667
2000-04-13,17.5
2000-04-14,-25.5319
2000-04-17,14.2857
2000-04-18,-6.25
2000-04-19,-26.6667
2000-04-20,36.3636
2000-04-24,0.0
2000-04-26,-26.6667
2000-04-27,45.4545
2000-04-28,-12.5
2000-05-02,0.0
2000-05-03,-21.4286
2000-05-04,0.0
2000-05-05,36.3636
2000-05-08,-20.0
2000-05-09,8.3333
2000-05-10,-23.0769
2000-05-11,0.0
2000-05-15,20.0
2000-05-16,-10.0
2000-05-17,5.5556
2000-05-18,-6.7982
2000-05-19,-2.1176
2000-05-22,-13.461500000000001
2000-05-23,0.0
2000-05-25,0.0
2000-05-26,-2.2222
2000-05-30,-4.5455
2000-06-02,4.7619
2000-06-05,-4.5455
2000-06-06,9.5238
2000-06-07,-4.3478
2000-06-08,13.6364
2000-06-09,2.0
