ticker,EIGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-25,-6.25
2013-10-28,2.7556000000000003
2013-10-29,0.7785
2013-10-30,-2.1459
2013-10-31,-3.6842
2013-11-01,0.0911
2013-11-04,-0.182
2013-11-05,-0.4558
2013-11-06,-0.641
2013-11-07,1.7511999999999999
2013-11-08,-0.1812
2013-11-11,0.2722
2013-11-12,0.8145
2013-11-13,0.5386
2013-11-14,1.3393
2013-11-15,1.4978
2013-11-18,2.9514
2013-11-19,3.3727
2013-11-20,-1.7128999999999999
2013-11-21,3.7344
2013-11-22,-0.72
2013-11-25,2.7397
2013-11-26,5.098
2013-11-27,5.6716
2013-11-29,0.9181
2013-12-02,-0.9097
2013-12-03,-1.4830999999999999
2013-12-04,-2.2939
2013-12-05,5.3558
2013-12-06,0.4875
2013-12-09,-4.0887
2013-12-10,-5.4191
2013-12-11,-2.5974
2013-12-12,1.8039
2013-12-13,-0.4622
2013-12-16,6.8885
2013-12-17,0.7965
2013-12-18,0.7902
2013-12-19,-3.0649
2013-12-20,4.4118
2013-12-23,0.2817
2013-12-24,0.7725
2013-12-26,0.2091
2013-12-27,1.1822
2013-12-30,-1.2371
2013-12-31,-1.3222
2014-01-02,-1.8336000000000001
2014-01-03,0.2155
2014-01-06,0.0717
2014-01-07,-0.4298
2014-01-08,-2.0144
2014-01-09,0.2203
2014-01-10,-1.2454
2014-01-13,-1.6320000000000001
2014-01-14,3.3183
2014-01-15,-1.8248
2014-01-16,-2.8253
2014-01-17,-0.9946
2014-01-21,0.2318
2014-01-22,-1.1565
2014-01-23,-6.4743
2014-01-24,-0.3336
2014-01-27,-4.6862
2014-01-28,-0.7902
2014-01-29,-1.2389000000000001
2014-01-30,1.3441
2014-01-31,1.5030999999999999
2014-02-03,5.5748999999999995
2014-02-04,2.2277
2014-02-05,-1.3721
2014-02-06,-1.3093
2014-02-07,2.2388
2014-02-10,-0.2433
2014-02-11,1.7073
2014-02-12,1.199
2014-02-13,2.7645999999999997
2014-02-14,0.9224
2014-02-18,2.2087
2014-02-19,-0.5216
2014-02-20,1.7978
2014-02-21,-0.5151
2014-02-24,3.1805
2014-02-25,-0.5735
2014-02-26,2.956
2014-02-27,7.9132
2014-02-28,-2.0766
2014-03-03,0.0663
2014-03-04,3.5099
2014-03-05,1.4075
2014-03-06,-1.7035
2014-03-07,0.7702
2014-03-10,0.0
2014-03-11,-2.0382
2014-03-12,-5.7217
2014-03-13,-4.069
2014-03-14,2.4443
2014-03-17,1.7544
