ticker,EXAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-31,5.3571
2001-02-01,1.6949
2001-02-02,-4.1667
2001-02-05,-2.6087
2001-02-06,0.0
2001-02-07,0.0
2001-02-08,-13.392900000000001
2001-02-09,-6.701
2001-02-12,2.7624
2001-02-13,-1.0753
2001-02-14,-3.8043
2001-02-15,-0.565
2001-02-16,0.0
2001-02-20,0.0
2001-02-21,0.0
2001-02-22,0.5682
2001-02-23,-0.565
2001-02-26,0.0
2001-02-27,0.0
2001-02-28,0.0
2001-03-01,0.0
2001-03-02,0.0
2001-03-05,-7.9545
2001-03-06,-1.2346
2001-03-07,-7.5
2001-03-08,0.0
2001-03-09,-3.3784
2001-03-12,0.0
2001-03-13,-0.6993
2001-03-14,1.0563
2001-03-15,-1.0453
2001-03-16,1.4085
2001-03-19,-3.4722
2001-03-20,-3.5971
2001-03-21,1.4925
2001-03-22,-1.4706000000000001
2001-03-23,-7.0896
2001-03-26,0.0
2001-03-27,-2.008
2001-03-28,0.4098
2001-03-29,-2.0408
2001-03-30,1.6667
2001-04-02,-1.6393
2001-04-03,-7.5
2001-04-04,-6.3063
2001-04-05,-6.7308
2001-04-06,-4.1237
2001-04-09,-8.8172
2001-04-10,3.7736
2001-04-11,0.0
2001-04-12,0.9091
2001-04-16,-0.3604
2001-04-17,-0.5425
2001-04-18,2.7273
2001-04-19,6.1947
2001-04-20,-2.5
2001-04-23,1.0256
2001-04-24,2.3689
2001-04-25,-1.6529
2001-04-26,0.8403
2001-04-27,0.0
2001-04-30,5.8333
2001-05-01,9.4488
2001-05-02,0.7194
2001-05-03,1.4285999999999999
2001-05-04,-1.4085
2001-05-07,-0.7143
2001-05-08,1.8705
2001-05-09,-0.4237
2001-05-10,2.1277
2001-05-11,-0.6944
2001-05-14,-1.3986
2001-05-15,3.5461
2001-05-16,0.0
2001-05-17,0.0
2001-05-18,-3.1507
2001-05-21,15.8416
2001-05-22,1.8315000000000001
2001-05-23,4.9161
2001-05-24,3.4286
2001-05-25,8.8398
2001-05-29,-6.0914
2001-05-30,-2.0541
2001-05-31,1.6556
2001-06-01,6.4061
2001-06-04,1.0204
2001-06-05,8.4848
2001-06-06,-1.1173
2001-06-07,11.5819
2001-06-08,12.405100000000001
2001-06-11,2.1772
2001-06-12,-7.6414
2001-06-13,3.4208
2001-06-14,1.1538
2001-06-15,-4.8669
2001-06-18,-9.5124
2001-06-19,-1.5018
2001-06-20,12.5561
2001-06-21,-6.6932
2001-06-22,3.1597
