ticker,SLGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-26,-22.7273
2019-02-27,-2.7058999999999997
2019-02-28,3.023
2019-03-01,5.5164
2019-03-04,3.4483
2019-03-05,0.0
2019-03-06,-6.5591
2019-03-07,-4.8331
2019-03-08,-1.8138
2019-03-11,4.4335
2019-03-12,-5.0708
2019-03-13,-11.8012
2019-03-14,-3.0986
2019-03-15,-1.8895
2019-03-18,-3.7037
2019-03-19,10.0
2019-03-20,15.9441
2019-03-21,-1.9300000000000002
2019-03-22,0.984
2019-03-25,-5.9683
2019-03-26,-6.0881
2019-03-27,2.069
2019-03-28,9.8649
2019-03-29,-0.984
2019-04-01,-4.2236
2019-04-02,-0.6485
2019-04-03,-7.5718
2019-04-04,-5.3672
2019-04-05,2.6866
2019-04-08,-2.0349
2019-04-09,-1.1869
2019-04-10,-4.3544
2019-04-11,2.3548
2019-04-12,7.2086
2019-04-15,2.289
2019-04-16,-2.0979
2019-04-17,0.4286
2019-04-18,1.8492
2019-04-22,2.8659
2019-04-23,-2.7861000000000002
2019-04-24,-1.2248999999999999
2019-04-25,2.5126
2019-04-26,-3.4483
2019-04-29,-1.4285999999999999
2019-04-30,-2.1739
2019-05-01,-5.7778
2019-05-02,3.1447
2019-05-03,25.6098
2019-05-06,1.335
2019-05-07,-1.1976
2019-05-08,7.8788
2019-05-09,-4.382
2019-05-10,4.1128
2019-05-13,-3.4989
2019-05-14,0.5848
2019-05-15,-3.7209
2019-05-16,-3.8647
2019-05-17,-6.5327
2019-05-20,3.0914
2019-05-21,8.7353
2019-05-22,-4.7962
2019-05-23,-7.1788
2019-05-24,0.8141
2019-05-28,0.9421
2019-05-29,-3.0667
2019-05-30,2.751
2019-05-31,-2.5435
2019-06-03,-0.5495
2019-06-04,-0.6906
2019-06-05,-2.6426
2019-06-06,-5.4286
2019-06-07,3.1722
2019-06-10,12.5915
2019-06-11,-3.1209
2019-06-12,0.4027
2019-06-13,6.1497
2019-06-14,2.6448
2019-06-17,-3.681
2019-06-18,3.6943
2019-06-19,0.6143
2019-06-20,2.0757
2019-06-21,-4.7847
2019-06-24,5.0251
2019-06-25,-1.4354
2019-06-26,0.8495
2019-06-27,-0.8424
2019-06-28,3.7621
2019-07-01,-3.9766
2019-07-02,-3.0451
2019-07-03,4.8995
2019-07-05,-1.1976
2019-07-08,-4.2424
2019-07-09,1.2658
2019-07-10,1.5
2019-07-11,-0.2463
2019-07-12,-2.0987999999999998
2019-07-15,1.5131999999999999
